description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2245,2492,2298.5,2889.5,4077,4257,4559.5,4818,4467.5,4908,2019.5,133.5,5521,4462.5,0,0,2048,,10.28516086,Orchard,Rainfed-orchards (pistachier)/Barren-SC-LS,0
,2246,1589,1377,1534,1975,2061,2332.5,2459.5,2331.5,2487.5,926,23,2859,2149,0,0,0,25,10.35092325,Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,0
,2247,1532.5,1365.5,1482.5,1886.5,2169,2573,2819.5,2670,2957.5,1000.5,19,3482.5,2515.5,0,0,0,15,10.60116667,Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,0
,2256,1500,1312,1411,1971,2070,2388,2626,2576,2838,937,19,3695,2955,0,0,0,,10.99675635,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2252,1782.5,1618.5,1755,2487.5,2590.5,2954.5,3241.5,3152,3460.5,1234.5,46,4035.5,3175,0,0,0,,10.90996091,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2250,1600.5,1454.5,1697.5,2428.5,2614.5,3047.5,3358.5,3180.5,3589,1221,20.5,4085.5,3267,0,0,0,,10.80286742,Orchard,Rainfed-orchards (olive)/Barren-SC-MS,0
,2251,1732,1668.5,1932,2720,2895,3184.5,3440,3370.5,3755.5,1249.5,21,4453,3576,0,0,0,,10.85227402,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2249,1613.5,1472,1737.5,2553,2849.5,3232.5,3526.5,3397,3748,1267.5,20.5,4533,3735.5,0,0,0,,10.73134389,Orchard,Rainfed-orchards (Amendier)/Barren-SC-LS,0
,2248,1559.5,1473,1740.5,2682.5,2884,3158,3374.5,3254.5,3568.5,1179,22.5,4534,3600.5,0,0,0,,10.65067283,Orchard,Rainfed-orchards (Amendier)/Barren-SC-LS,0
,2253,1553.5,1427,1362,1703.5,1827.5,2053,2233.5,2212.5,2350,810,15,2789.5,2178.5,0,0,0,,10.90264647,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2254,1697,1738,2074,2942,3095,3406,3662,3567,3811,1150,20,4547,3689,0,0,0,,10.89993248,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2255,1578,1339,1241,1572,1703,1958,2126,1992,2263,1023,21,2521,1859,0,0,0,,10.97443191,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2259,1702,1679,1927,2521,2729,3084,3341,3201,3496,1077,21,4309,3393,0,0,0,,10.63331095,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2258,1826,1484,1499,1894,2242,2495,2765,2449,2984,889,24,3797,2902,0,0,512,,10.83149286,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2257,1514,1347,1489,2005,2219,2521,2807,2807,3086,989,19,3678,2677,0,0,0,,10.97849528,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2184,1643,1450,1513,1765,1976,2549,2934,2867,3249,1119,14,3784,2910,0,0,0,10,10.78905403,Oats,Irrigated-Oats/Wheat-VLS,0
,2295,1237,974,948,662,1201,2871,3537,3472,3962,1117,14,1866,887,0,0,0,85,10.65964613,Orchard,Rainfed-Orchards Almond/Barren-LS,0
,2211,1710,1604,1868,2441,2743,3161,3462,3403,3730,1182,16,4445,3451,0,0,0,90,10.634238,Orchard,Irrigated-GW-grape orachards / Barren-VLS,0
,2210,1480,1210,1247,1410,1593,2202,2483,2380,2659,922,18,2787,2009,0,0,0,10,10.63085563,Orchard,Rainfed-olive orachards / Barren-LS,0
,2294,1364,984,916,593,1041,3085,3929,3803,4254,1059,11,1926,910,0,0,0,99,10.88150763,Orchard,Irrigated-GW-DC-Olive Orchards/Wheat-VLS,0
,2311,1284,1029,1052,1013,1459,3495,4071,4045,4411,1330,8,2386,1483,0,0,0,96,10.92961941,Vegetable,Irrigated-GW-DC-vegetables-vegetables-VLS,0
,2112,1362,1015,900,743,1242,2576,3006,2394,3196,795,10,2224,1323,0,0,512,98,10.83252806,Barley/Wheat,Irrigated-GW-DC-Wheat-VLS,0
,2072,1417,1097,1046,685,1239,3351,4079,3950,4439,1159,14,1725,788,0,0,512,98,11.00735642,Barley/Wheat,Rainfed-SC-wheat-LS,0
,2125,1368,1202,1242,1171,1507,2857,3401,3026,3670,1283,12,2079,1146,0,0,1024,98,11.01804465,Fababean,Irrigated-GW-DC-fababesn/barley-vegetables-VLS,0
,2126,1236,908,878,577,1028,3077,4017,3894,4299,1419,9,1413,644,0,0,1024,96,11.04017894,Fababean,Rainfed-SC-fababean-LS,0
,2307,1386,1020,967,622,1246.5,3133,3876,3621,4230,1089,15,1950,1125.5,0,0,1024,94,10.98425729,Vegetable,Irrigated-GW-DC-vegetables-vegetables-VLS,0
,2071,1469,1170,1317,1075,1826,3994,4186,4144,4197,1131.5,42,2171,1516,0,0,512,98,11.00206916,Barley/Wheat,Irrigated-GW-DC-barley-vegetables-LS,0
,2306,1437,1050,918.5,623,1219.5,3065.5,3935,4157,4354,1036,151,1910,942,0,0,2048,99,10.92488739,Vegetable,Irrigated-GW-potato-fodder-LS,0
,2070,1856,1205,1093,886.5,1264,3264,4221.5,4206,4631,1342,97,1504,905,0,0,2048,96,10.96546788,Barley/Wheat,Rainfed-SC-barley-LS,0
,2069,1343,1054,999,712,1355,2810,3228,3306,3483,974.5,31,1986,997,0,0,0,50,10.8989394,Barley/Wheat,Rainfed-SC-wheat/fodder-MS,0
,2068,1262,971,955,637,1116,2711,3293,3040,3539,1095,14,1702,809,0,0,512,95,10.84380656,Barley/Wheat,Rainfed-SC-wheat/fodder-LS,0
,2214,1266,948,899,616,1129,2872,3452,3417,3847,1096,11,1676,882,0,0,0,,10.83361111,Orchard,Irrigated-GW-orange orchards / Barren-LS,0
,2131,1264,949,975,539,1265,3672,4473,4501,4784,1527,7,1686,753,0,0,0,91,10.85940888,Fodder,Rainfed-SC-fodder-VLS,0
,2213,1332,1007,950,697,1275,2584,3042,3040,3353,1087,13,2205,1196,0,0,1024,53,10.75681487,Orchard,Rainfed-olive orachards / Barren-LS,0
,2156,1305,1005,942,847,1201,2092,2391,2354,2673,924,13,2205,1301,0,0,1024,0,10.69831303,Non-cropland,Forests/shrublands-LS,0
,2212,1415,1088,1125,1009,1471,2176,2454,2486,2667,888,18,2855,1991,0,0,1024,45,10.66647101,Orchard,Rainfed-SC-olive orchards / Barren-LS,0
