idx,label,scale,Longitude,Latitude,idx2,date,cropland,trees,grasses,shrubs,water,other,desc
45,Settlements,,34.10679970960,0.45780868207,59,8-Jun-14,0,0,0,0,,100,
52,Rainfed-SC-sorghum/maize-MS,"Sorghum-50,M-50",33.98188918040,0.50260749542,60,9-Jun-14,95,2,0,0,,3,
53,Rainfed-SC-maize-VLS,"VLS, ideal spectra",33.97301598850,0.51024829955,61,9-Jun-14,97,1.5,0,0,,1.5,
300,Rainfed-SC-maize-MS,,33.94388898750,0.52782117514,62,9-Jun-14,90,4,0,0,,6,
300,Rangelands/shrublands,LS,33.89652946880,0.53515200973,63,9-Jun-14,0,0,0,100,,,
300,Irrigated-SW-DC-rice-rice-VLS,,33.88640593530,0.53259203575,64,9-Jun-14,100,0,0,0,,0,
56,Irrigated-SW-rice-rice-LS,,33.85585331090,0.53044457673,65,9-Jun-14,100,0,0,0,,,
57,Rainfed-SC-maize-VLS,,33.83116371950,0.52261351690,66,9-Jun-14,90,3,0,0,7,,
300,Rainfed-SC-maize-LS,,33.79064886130,0.52478881130,67,9-Jun-14,95,2,0,0,,3,
58,Rainfed-DC-rice/maize-LS,,33.77061547950,0.54760804013,68,9-Jun-14,100,0,0,0,,0,
59,Rainfed-SC-maize-VLS,Ideal spectra,33.71932566450,0.59381523671,69,9-Jun-14,100,0,0,0,,0,
60,Rainfed-LL-Rice-VLS,VLS,33.68218308460,0.59921677481,70,9-Jun-14,100,0,0,0,,,
61,Rainfed-SC-maize-LS,"M-60, sh-30",33.63742640240,0.61955577743,71,9-Jun-14,95,5,0,0,,,
62,Rainfed-LL-rice-MS,MS,33.58510385240,0.63032331410,72,9-Jun-14,100,0,0,0,,0,
300,Rainfed-LL-rice-VLS,,33.54983355800,0.63208264720,73,9-Jun-14,100,0,0,,,0,
64,Rainfed-SC-maize-LS,Ideal spectra for rice,33.53471526200,0.63055994112,74,9-Jun-14,100,0,0,0,,0,
300,Rainfed-SC-maize-VLS,,33.50978718460,0.62683890171,75,9-Jun-14,100,0,0,0,0,,
65,Rainfed-LL-rice-LS,,33.46495436950,0.61056042409,76,9-Jun-14,100,0,0,0,,,
68,Rainfed-SC-sugarcane-VLS,,33.42275912560,0.57638550017,77,9-Jun-14,90,5,0,5,0,0,
300,Rainfed-SC-maize-LS,LS,33.39138957640,0.53129464347,78,9-Jun-14,98,1,,0,,1,
69,Rainfed-Sugarcane-VLS,"SC-80,",33.33366470830,0.51583247113,79,9-Jun-14,98,1,0,0,0,1,
300,Irrigated-SW-sugarcane-VLS,,33.31074135060,0.50651677420,80,9-Jun-14,100,0,0,,0,0,
70,Irrigated-SW-DC-rice/sugarcane-VLS,"R-30,SC-70",33.22900602420,0.46132166341,81,9-Jun-14,99,0,0,0,,1,
300,Rainfed-SC-maize-LS,,33.21056007730,0.44192082782,82,9-Jun-14,95,2,0,0,,3,
71,Irrigated-SC-sugarcane-LS,"SC-80,M-20",33.16951102530,0.43198778873,83,9-Jun-14,100,0,0,0,,0,
72,Rainfed-SC-sugarcane-VLS,"SC-90,m-10",33.13295557710,0.41594720074,84,9-Jun-14,100,0,0,0,,0,
73,Rainfed-SC-sugarcane-VVLS,,33.10133235150,0.40610886388,85,9-Jun-14,100,0,0,0,,,
74,Rainfed-SC-sugarcane/tea-VVLS,VVLS,33.09158185690,0.40900765956,86,9-Jun-14,100,0,0,0,,,
75,Forests-evergreen forest,,33.07234439460,0.40865629039,87,9-Jun-14,0,0,0,100,,0,
76,Rainfed-SC-sugarcane-LS,,32.97178627640,0.39050161538,88,9-Jun-14,95,1.5,0,0,,3.5,
76,Rainfed-SC-sugarcane-VLS,,32.95420678150,0.37259896800,89,9-Jun-14,100,0,0,0,,,
73,Rainfed-SC-sugarcane-LS,"SC-80,M-10,Banana-10",32.90929383500,0.37395932226,90,9-Jun-14,100,0,0,0,,,
76,Tea plantations-VLS,,32.88938657840,0.36859392956,91,9-Jun-14,100,0,0,0,,,
78,forests/plantations,,32.80046150120,0.35863157212,92,9-Jun-14,0,0,0,100,,,
