idx,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,class,lat,lon,desc
3665,6131,7724,7991,8187,8575,7055,7697,6092,4320,3953,3585,3227,2936,2765,2669,2471,2560,2661,3266,3895,4300,4918,6030,0,-30.18517417,29.26049881,
3667,7648,7283,7431,7562,7520,7209,7100,7056,5899,5572,4710,4366,4142,4280,4201,3968,3837,4599,4873,6559,7503,7375,7985,0,-29.64966117,29.53931891,
3678,8219,8756,7027,6642,7201,6634,6227,5363,4085,3567,3551,3074,3216,2733,2913,2802,3173,3641,4031,4523,5969,7203,6830,0,-26.64719676,29.75355307,
3681,6784,6983,7025,6737,6465,6657,6618,5998,5460,5089,4398,3887,3374,3223,3452,3221,3524,3606,4127,6462,6521,6103,6220,0,-31.20383454,29.5378815,
3686,6874,6811,6512,6694,6920,7238,7057,4949,5473,5030,4996,5609,5699,4949,4375,3674,4005,5099,5078,5286,6567,5956,7140,1,-27.33921327,31.64870228,
3698,8054,8275,7843,7743,8110,8149,8240,7739,7601,7068,5946,5603,5392,4566,4703,4535,4549,5691,5864,6149,8094,7535,7090,0,-31.04841978,29.49193197,
3699,7057,6590,7692,7209,6848,5809,5695,4374,3512,3075,2767,2604,2568,2584,2515,2315,2404,2809,3419,3273,5500,5838,7707,0,-26.91788342,29.05184225,
3703,6645,5233,5312,5343,5768,6089,5194,4559,3978,3440,2991,2805,2693,2623,2360,2342,2643,2757,2669,4282,4755,5618,5304,0,-29.09640287,27.63486027,
3705,5765,6165,6212,5958,6308,6279,5828,5196,4720,4227,3529,3112,2896,2759,2724,2602,2526,2722,3376,4994,4440,4671,5293,0,-30.74212556,29.25348219,
3707,3473,4453,5923,5498,6482,6322,6124,5276,3755,3117,3007,2723,2554,2209,2174,1990,2035,2099,2009,2504,4077,4184,4118,2,-27.60275453,27.49906616,
3714,6549,5722,6822,5592,5704,5288,5000,3783,3404,2809,2717,2562,2439,2338,2344,2245,2222,2859,3394,4566,4946,6361,6571,0,-28.07314536,29.24511239,
3718,4969,4258,4513,4413,6026,5240,4805,4680,3801,3235,2951,2592,2674,2545,2612,2541,2352,2422,3535,5500,4432,4560,7340,0,-28.9115406,31.05098715,
3724,4469,4684,6108,5552,6840,6551,5598,4896,3728,3185,2742,2425,2456,2277,2109,1943,1999,2062,2091,2218,2545,2924,4994,0,-27.4003633,28.12233892,
3733,5172,6478,7979,7692,7205,7404,7410,5001,3991,3958,2737,2535,2298,2374,2258,2396,2350,2710,2471,2823,3775,4144,4980,0,-28.11942997,30.30462783,
3747,3493,3670,3330,4619,4019,4343,4130,3535,3098,2753,2741,2306,2320,2186,2635,2153,2065,2232,2140,2842,2650,2953,2904,0,-29.83039392,27.43540254,
3756,5618,4906,4781,4659,5748,5574,5494,4555,4058,3398,3106,2914,2486,2593,2326,2522,2401,2804,3784,3414,3765,3629,4850,0,-28.43366015,30.89975141,
3757,7716,6284,7168,7215,7590,6654,5875,6216,6322,4983,4744,3916,4104,3730,3625,3253,3281,4029,5513,5271,7090,2674,6286,0,-27.42151447,32.0674807,
3768,5030,4773,5355,6476,7312,6772,5352,3945,3269,3059,2806,2536,2524,2552,2458,2083,2058,2172,2082,1920,3627,3031,5399,2,-27.36698728,27.68278479,
3769,5585,6179,5556,5756,5416,5381,4912,5447,3999,3629,3232,3069,2532,2628,2202,2800,2291,2669,2805,3269,4113,4332,5780,0,-26.62548074,30.62120646,
3772,6620,6567,6261,5585,5893,6290,5185,4484,3172,2953,2598,2421,2113,2042,2447,2237,2496,3277,3801,4692,5844,6068,6612,0,-26.82145989,27.88214159,
3779,3207,3117,3884,3962,4423,4159,4049,3987,3423,2888,2600,2454,2358,2176,2443,2226,2142,2364,2167,2672,3293,3331,3907,0,-30.38311663,27.6993583,
3785,6570,5505,6347,5423,6644,6944,6369,6013,5395,5219,4728,4402,4027,3890,3657,3228,3482,3561,4530,4728,5734,5260,5692,0,-27.80678116,31.87334365,
3786,6684,5762,7221,6388,6011,5692,5501,4153,3417,2884,2705,2275,2261,2244,2132,2174,2128,2440,2674,3436,3370,4173,6107,2,-27.28300146,28.64220498,
3787,6689,6932,5886,5259,4437,4239,3647,3638,3343,3078,2688,2408,2431,2393,2333,2101,2070,2139,2054,2154,2457,3169,4609,2,-26.94566974,28.06222733,
3794,7027,6574,6573,5879,5756,5731,5037,4126,3321,3081,2974,2806,2706,2600,2646,2441,2570,2696,3820,4839,5968,4447,5901,0,-27.86259972,29.24838086,
3803,7113,6866,7287,7709,7539,7597,7223,6418,5375,4716,4003,2302,2443,2022,2461,2357,2090,2811,3639,5000,5242,5196,7298,0,-30.29733994,29.69454212,
3809,6323,6432,7094,6432,6791,6362,6602,6012,6056,4813,4202,4348,3614,3637,4031,3685,3581,4005,6068,6374,5594,5481,5742,0,-30.95057287,30.24320751,
3810,5494,5828,7148,6407,7085,6368,5685,4088,3396,2926,2997,2684,2702,2424,2374,2248,2277,2453,2369,3441,3910,5191,7662,2,-27.86745084,28.49713198,
3811,5894,5646,6389,5974,6840,6674,6516,6264,5581,5563,5290,4909,4590,4250,4367,3976,3414,3483,4560,5041,4865,4812,6787,0,-28.93458832,31.27269025,
3813,5629,3815,3797,4041,7050,6617,6474,6121,3928,2845,2568,2356,2282,2193,2167,1998,1993,1986,2008,1976,2975,3758,4330,0,-27.19436422,27.587048,
3814,5926,6557,6131,5628,5630,6599,5452,5340,4551,3854,3651,3426,2983,2928,2782,3036,2413,2660,3039,3470,4568,4426,5660,0,-27.41576047,31.04199816,
3816,4072,4769,4777,4505,5988,5112,4667,4702,3952,3674,3103,2902,2751,2678,2751,2586,2651,2542,2463,3512,3605,3837,4642,0,-30.018099,28.78925559,
3830,6986,6024,7435,7544,8588,8416,8311,4401,2962,2679,2557,2364,2247,2222,2178,2130,1891,2342,2071,2471,2528,2641,6875,0,-26.40023246,29.3279794,
3834,6379,6270,6916,6093,6537,5711,5335,5104,4208,3835,3096,2968,2636,2369,2298,2187,2270,2624,2380,3159,3369,3381,3674,0,-27.79588856,27.96817233,
3837,7015,6606,7343,7169,7538,7815,7122,7514,6439,7086,6865,6231,5493,5541,4456,3715,3207,3192,3929,3941,5559,4571,5521,0,-28.83073727,31.9128727,
3838,6922,7415,7201,6473,6976,5536,4593,4097,3301,2998,2991,2463,2493,2478,2355,2236,2293,2604,2482,3146,3570,2956,5940,0,-28.05504699,29.13414075,
3839,5201,6150,7098,6136,7953,7334,5482,4389,2797,2669,2443,2293,2204,2146,2002,2002,1983,2169,2115,2574,3836,4148,4743,0,-28.87653413,27.51830111,
3842,7297,6925,7630,6983,7407,6661,5935,4514,3095,2866,2780,2386,2341,2342,2208,2333,2083,2101,2146,2482,2899,2667,5801,2,-26.87628079,29.07691235,
3846,7126,6809,7262,7198,6996,6895,7414,6607,5913,5464,5138,4284,4021,3496,4417,4043,3930,4915,4781,6764,7581,5824,7506,0,-31.07254714,29.89200535,
3854,6868,6400,6692,6373,6694,6651,6623,6260,5718,5230,4108,4912,4313,4309,3735,3509,2857,3009,4560,7026,6078,5152,4207,0,-29.28902725,31.13516471,
3857,6501,6526,6429,5770,5993,5158,4894,3871,3311,3210,2719,2571,2557,2383,2466,2412,2278,2468,2745,3979,4235,4632,5933,0,-28.00508338,28.87241174,
3858,6706,4504,5629,5979,3997,5841,6204,5753,6112,4941,4709,3159,2535,2550,3042,2537,2988,3415,3665,4182,4942,3264,5554,0,-28.12811907,28.90310399,
3861,6948,6621,6814,6289,7614,7373,7815,6956,6885,6149,5380,4819,4570,4523,4299,4210,4312,4143,5181,5433,6074,4520,6485,1,-29.11094322,31.47346675,
3863,5679,6561,6194,6037,6129,5703,5599,4865,3825,3046,3046,2716,2769,2456,2282,2330,2213,2140,3489,4023,5062,4799,5292,0,-26.92953032,30.14391451,
3867,3096,5040,6940,6867,7444,6656,5909,4750,3664,3153,2819,2422,2571,2296,2304,2108,2087,2042,2168,2414,2431,2699,2647,0,-28.69962092,27.45671252,
3869,4836,4122,4152,4046,5322,4895,5018,3801,3539,2967,2575,2353,2379,2187,2075,2160,2071,2228,3034,2875,3400,3301,3973,0,-28.34921424,30.74129274,
3873,7033,6044,6796,6894,6989,7016,5720,6269,5258,4888,4484,3984,3482,3296,3280,3488,2847,3240,3281,4247,5504,4777,6024,0,-26.40907692,31.19209838,
3875,3346,3759,3659,4652,4722,4019,3876,3461,2839,2762,2660,2394,2387,2357,2405,2129,2060,2046,2145,2876,2600,2904,2782,0,-29.68382084,28.74373054,
3881,5558,5968,5661,5476,5681,5602,5478,5232,4392,4255,3583,3206,2914,2934,2820,2759,2589,3249,3314,3811,3985,3859,5303,0,-28.38234943,31.20010013,
3882,5720,5631,7521,7324,7526,6849,5835,4901,3596,3437,3207,2798,2671,2479,2553,2368,2788,2549,3020,4481,4528,4938,5400,0,-29.12518402,28.49317378,
3883,7030,6432,6238,6064,6515,7194,6701,5400,4748,4242,4050,3873,3678,3149,3052,3056,2796,3232,4401,4176,4585,4738,5307,0,-27.95015917,31.87129761,
3884,6563,6427,6807,6196,6919,7031,6598,5805,4603,4346,3863,3428,2952,2794,2947,2643,2426,2861,3799,4028,4468,4588,7011,0,-28.02314811,30.84490102,
3899,6203,5830,5592,5341,6850,6885,6244,5913,5547,5078,5078,5194,4319,3921,3617,2987,3051,3821,4920,4385,4560,4154,3377,0,-28.50667147,32.10461004,
3911,4937,5562,5101,4982,5588,5202,5434,4587,3854,3436,3206,3049,2776,2707,2468,2414,2303,2496,3611,3490,5189,4570,5715,0,-28.29191157,30.4993237,
3913,7314,6842,7872,6782,7574,7866,7742,6882,6565,6270,5688,4802,4658,4900,4429,3758,3615,4166,6157,6363,6825,5891,5413,0,-28.29929702,32.24090377,
3914,6561,6269,5945,5491,6272,6143,6141,6104,5177,5140,4560,3409,3217,3148,3602,3829,3653,4169,5486,5982,7431,5488,6157,0,-31.05649014,30.10264783,
3918,5292,4988,4351,4237,5142,4847,4765,4409,4635,3545,3440,3057,2813,2859,2772,2541,2329,2594,3021,3806,3955,3904,4284,0,-28.15628639,30.97342835,
3924,3619,3737,4706,5621,5739,4754,4423,4187,2920,2721,2465,2301,2244,2189,2245,2036,2187,2028,2078,2796,3048,2724,2793,0,-29.67997043,27.51250233,
