T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,class,code1,idx,l1,l2,l3,l4,label,latitude,longitude,use
2219,2068,2575,2843,2776,2869,2621,2297,2135,1853,1900,1740,1790,1807,1798,1794,1648,1661,1693,1964,2285,2142,2605,2,5,190,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,34.74535908,8.573270342,0
2656,2416,2324,3029,2830,2896,2983,2651,2140,2254,2302,1914,1883,1948,2228,2249,1982,1895,2217,2198,2414,2482,2536,2,5,191,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Barren-SC-LS,34.72337793,8.789707617,0
2823,2834,2645,3133,2905,2972,2973,2835,2345,2573,2270,2161,2684,1990,2192,2336,2123,2287,2588,2758,2683,3209,3277,2,5,192,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Fodder-DC-MS,34.71842389,8.792968978,0
1923,2047,2002,2397,2495,2353,2228,1895,1663,1570,1504,1430,1384,1377,1344,1431,1333,1436,1404,1861,1552,1762,1929,2,5,193,cropland,irrigated,Orchard,Amendier Orchard,Irrigated-Orchards (amendier)/Barren-SC-LS,34.68966559,8.812376724,0
4926,3717,4141,3482,3218,3268,3303,3391,3462,2948,3290,3404,3412,3336,3259,3656,2944,3473,3959,4486,3434,4401,4624,2,5,194,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Barren-SC-LS,34.63966748,8.840849929,0
2068,1930,2204,2758,2697,2722,2150,1814,1636,1633,1503,1569,1408,1425,1409,1437,1452,1441,1601,1699,1705,1858,1584,2,5,195,cropland,irrigated,Orchard,Olive/Almond Orchard,Irrigated-Orchards (olive/amendier)/Barren-DC-SS,34.57261296,9.018402418,0
1960,1647,1921,1857,2330,2561,2639,1904,1871,1938,1874,1445,1502,1468,1587,1833,1594,1974,2055,2405,2683,2519,2355,2,5,196,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,34.47331455,9.044838545,0
1794,1737,2332,2161,2799,2681,2166,1870,1509,1508,1483,1301,1492,1367,1161,1071,1182,1378,1720,2511,2501,2461,2268,2,5,197,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.50765781,9.165434683,0
2212,2339,2229,2557,2346,2358,2342,2130,1958,1858,1632,1536,1466,1515,1500,1560,1473,1518,1620,2064,1896,1846,1953,2,5,198,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.56684885,9.369168909,0
2274,2305,2091,2011,1808,1877,1710,1744,1704,1656,1697,1476,1280,1625,1576,1369,1333,1628,1833,2381,2198,2304,1784,2,5,199,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.57596751,9.488002438,0
2201,2507,2402,2225,1946,2478,2348,2508,2120,2076,2019,1965,2144,2302,2174,2267,2158,2252,2090,2024,2483,2322,2414,2,5,200,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Amendier)/Barren-SC-MS,34.58609735,9.538625707,0
1902,2337,2227,1966,1923,2070,1904,1917,1623,1604,1588,1434,1545,1438,1397,1527,1392,1436,1514,1492,1614,1862,2493,2,5,201,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.61499662,9.6883244,0
1647,1634,1659,2272,1789,1706,1688,1540,1572,1585,1617,1467,1421,1443,1383,1371,1364,1681,1680,1397,1485,1610,1444,2,5,202,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.61377838,9.875867075,0
1694,1675,2022,1595,1547,1745,1614,1568,1565,1431,1611,1560,1744,1656,1437,1450,1618,1376,1475,1591,1648,1598,1599,2,5,203,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.67758202,9.964666454,0
1913,1603,2092,2334,1928,2012,1953,1754,1546,1759,1698,1586,1712,1692,1589,1574,1524,1665,1715,1587,1812,1824,1730,2,5,204,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.74561128,10.14026504,0
1593,1721,2079,2057,1823,1729,1726,1704,1699,1590,1594,1560,1588,1516,1552,1606,1529,1648,1693,1528,1713,1998,1814,2,5,205,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.75242737,10.21946134,0
1319,1357,1710,1816,1652,1890,1861,1951,1734,1653,1555,1565,1473,1444,1495,1434,1507,1490,1410,1239,1286,1542,1591,2,5,206,cropland,Rainfed,Orchard,Pistachier Orchard,Rainfed-orchards (pistachier)/Barren-SC-LS,34.76091307,10.28516086,0
1632,1743,1699,2088,1818,1838,1954,2369,1860,1820,1854,1592,1551,1521,1527,1628,1577,1630,1460,1524,1647,1741,1864,2,5,207,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,34.75100101,10.35092325,0
2721,2403,3417,3960,3574,3963,3452,2992,2462,2126,2186,2001,1815,2038,1813,1922,1808,1783,1811,1874,1927,1961,1883,2,5,208,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,34.73325,10.60116667,0
2355,1793,2396,2760,2393,2808,2829,2113,1776,1749,1847,1739,1918,1631,1605,1711,1540,1634,1439,1348,1368,1564,1791,2,5,209,cropland,Rainfed,Orchard,Amendier Orchard,Rainfed-orchards (Amendier)/Barren-SC-LS,34.75044469,10.65067283,0
1991,1896,2375,2427,2473,2711,2773,2398,2025,1982,2033,1847,2094,1778,1839,1855,1813,1802,1696,2490,2612,2359,3131,2,5,210,cropland,Rainfed,Orchard,Amendier Orchard,Rainfed-orchards (Amendier)/Barren-SC-LS,34.83795294,10.73134389,0
2411,2030,2337,2200,2250,2210,2188,2225,2049,1962,1875,1825,1962,1898,1840,1842,1820,1870,1851,2025,2011,2022,2368,2,5,211,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-MS,34.85994623,10.80286742,0
2422,2010,1980,2438,2055,2015,2310,2135,1907,2054,1917,1831,1879,1761,1882,1825,1750,1643,1718,1666,1782,1786,1900,2,5,212,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,34.89703638,10.85227402,0
2788,3084,2413,3033,3178,2518,2939,2482,2489,2535,2023,2034,2039,1848,2006,1934,1829,1714,1774,2772,1772,2255,2550,2,5,213,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.05023483,10.90996091,0
2598,3132,2762,2947,2866,2624,2483,2361,2230,2087,2058,2075,2315,1963,1920,1878,1646,1660,1977,2814,2540,2669,2724,2,5,214,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.09264,10.90264647,0
2603,2586,3012,3201,2956,2541,2628,2446,2079,2003,1854,1809,1802,1722,1753,1659,1642,1726,1987,2578,3417,2469,2628,2,5,215,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.17184404,10.89993248,0
3012,2754,3432,2982,3163,2795,3000,2675,2370,2272,2306,2374,2249,2239,2137,2142,2019,2123,2321,2637,1775,2858,2970,2,5,216,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.28260138,10.97443191,0
3155,3207,3124,3024,3224,2888,3045,2754,2402,2393,2364,2182,2352,2071,2080,2041,2340,2530,2605,3862,3474,2999,3064,2,5,217,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.39151791,10.99675635,0
2902,2961,2845,2620,2740,2849,2599,2716,2582,2308,2401,2242,2251,2221,2184,2158,2409,2437,2929,3393,2947,3132,3348,2,5,218,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.48754502,10.97849528,0
3173,3238,3510,3641,3126,2834,2863,2638,2465,2276,2041,1974,2290,1980,1934,1904,1790,1860,2063,2311,4195,2902,3317,2,5,219,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.43700441,10.83149286,0
2114,2118,2570,3221,3694,3737,3312,2813,2388,1821,1771,1751,1959,1724,1710,1738,1616,1638,2138,2464,2429,2177,2565,2,5,220,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.49661178,10.63331095,0
2607,3386,2819,3110,3006,2755,2501,2427,2322,2163,2121,2290,2207,2027,2043,2046,1957,2041,2476,2944,3492,2554,3029,2,5,221,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.58850783,10.6142022,0
2485,3608,2352,2724,2843,2863,2862,2627,2160,2173,2145,2059,2074,1919,1854,1972,2015,2102,2644,3528,3802,2819,2865,2,5,222,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.71374761,10.53249876,0
5838,5224,6414,7688,6599,6257,5954,4514,2862,2222,2545,3153,4050,3314,3402,3598,3622,3001,3944,3493,3764,3683,3571,2,5,230,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Wheat-DC-SS,35.52537125,10.06040441,0
2485,3211,2298,3102,2633,2827,2613,2391,2492,2454,2244,2033,1998,2007,2001,1957,2096,2290,2949,3018,3592,2898,2767,2,5,231,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)-SC-LS,35.36406531,10.04761691,0
2405,2850,2349,2646,2314,2310,2333,2106,2128,2355,2264,1993,1964,1970,1875,1954,2217,2041,2545,2774,2894,3472,1815,2,5,232,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive/Amendier)/Barren-DC-SS,35.30845407,10.02825846,0
2502,2183,2440,2438,2027,2199,2147,1975,1941,1879,1791,1943,1836,1759,1779,1810,1687,1774,2045,1938,2026,2093,2112,2,5,233,cropland,Rainfed,Orchard,Amendier Orchard,Rainfed-orchards (Olive)-SC-LS,35.23468748,10.04050044,0
2755,2574,2713,2643,2813,2833,2895,3028,3294,3167,2358,2102,2059,1854,1936,2038,1962,2236,2507,2413,2482,2568,2757,2,5,234,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Barren/potatos-DC-SS,35.10726538,10.03601402,0
1969,2069,2243,2436,2324,2441,2408,2267,2138,1830,1758,1732,1673,1595,1590,1620,1549,1536,1782,1778,2055,2056,1994,2,5,235,cropland,Rainfed,Orchard,Amendier Orchard,Rainfed-orchards (Amendier)/Barren-SC-LS,35.05006676,10.0323279,0
2191,1977,2157,2048,1979,1990,2229,2057,1759,1999,1865,2007,2089,1759,1899,1920,1301,1660,2062,2198,2125,2043,2233,2,5,236,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.0608139,9.991622319,0
2660,2493,2654,3039,2530,2680,2706,2516,2284,2082,2178,2091,1887,1787,1874,1931,1740,1924,2223,2446,2229,2299,2864,2,5,237,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Barren-SC-LS,35.07561809,9.83369844,0
2549,2591,2339,2922,2462,2678,3083,2481,2194,2105,1758,2066,1969,1701,1686,1755,1708,1773,2803,2370,3214,3690,3535,2,5,238,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-orchards (olive)/Barren-SC-LS,35.06825806,9.735436915,0
2532,3782,3124,3383,3481,3213,3343,3087,2367,1986,1853,1934,1811,1675,1730,1750,1592,1830,1996,1783,3025,2821,2329,2,5,242,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Barren-SC-LS,35.09801086,9.412590854,0
3118,3849,3789,3790,3499,3897,2993,3115,2730,1891,1792,1821,1892,1728,1552,1665,1377,1561,2130,1940,1963,2244,3534,2,5,243,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/vegtebales-DC-SS,35.12873816,9.372401321,0
2756,2872,2038,1910,2135,1882,1908,1769,1809,1443,1668,1569,1524,1630,1459,1446,1332,1329,1524,1434,1286,2258,2971,2,5,244,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Barren-SC-MS,35.14309671,9.365157037,0
3791,3835,4010,4297,3495,4256,4338,3692,3033,2717,2770,2756,3179,2469,2609,3002,2370,2515,2850,3036,3501,3536,3765,2,5,245,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/vegtebales (Garlic)-DC-SS,35.15248621,9.36682127,0
1645,2649,1726,3380,2808,1848,3329,2424,1851,1981,2547,2417,2737,1871,1691,1847,1903,1752,2154,2156,2304,3383,3490,2,5,248,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Barren-SC-LS,35.37412043,9.475659804,0
3979,3766,4144,3642,4193,4266,3915,3709,3382,2744,2563,3006,2892,2923,2809,2823,2806,3862,4183,3807,3642,3579,3839,2,5,249,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/vegtebales (pototes)-DC-SS,35.38244027,9.506720185,0
3798,3103,3446,4147,3801,4429,4010,3120,2748,2662,2453,2498,2393,2233,2459,2613,2203,3123,3502,3471,3052,3287,3176,2,5,250,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Vetebles(Potato)-SC-LS,35.41232014,9.488723588,0
4947,4171,4368,4045,3580,3916,4327,3901,3175,3026,3434,2747,3155,2880,2979,2917,2772,3304,3886,4254,3555,3864,3380,2,5,251,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Barley - DC-SS,35.41973773,9.480367528,0
1299,3041,1821,1580,2258,1919,2228,2570,1601,1286,1349,1231,1128,1118,1057,981,1247,1047,1369,1132,1379,1273,1905,2,5,255,cropland,Rainfed,Orchard,Olive Orchard,Rainfed - Oilve Orchards/fodder (Oat)-SC-SS,35.66243969,9.260114212,0
3423,3408,3166,3666,3549,4292,4472,3941,3494,3560,3858,4578,4202,3874,3893,4243,4117,3925,4629,5743,4943,4282,4041,2,5,264,cropland,Rainfed,Orchard,Peach Orchard,Irrigated orchards (peach) /Barren-SC-SS,35.63883391,9.696305438,0
4386,3821,3300,3129,3645,3536,3196,3179,3214,3293,3736,3565,2860,2761,2615,2567,2281,2260,3118,3686,2901,4370,3560,2,5,265,cropland,Rainfed,Orchard,Olive Orchard,Rainfed - orchards (olive)/Barren -SC-LS,35.65154026,9.744070761,0
4584,3534,5273,5302,3182,2533,3216,3706,2808,3128,2634,3084,2534,2396,2428,2315,2138,3246,4362,4285,4254,3955,3005,2,5,266,cropland,Rainfed,Orchard,Almond Orchard,Rainfed - orchards (Almond)/Barren -SC-LS,35.60426692,9.842767592,0
3241,2565,3592,3942,4058,4813,4918,5176,5219,5599,4816,5434,4643,4645,3965,4359,4325,4989,4785,4523,3487,3414,2856,2,5,267,cropland,irrigated,Orchard,Olive Orchard,Irrigated-orchards (Olive)/Wheat - DC-SS,35.60093687,9.890474965,0
2948,3044,4899,5843,5355,6792,6488,5225,3425,2174,2140,2542,2349,2504,2405,2588,2326,2381,2946,2232,3665,2184,2849,2,5,268,cropland,irrigated,Orchard,Olive Orchard,Irrigated- Olive Orchards/Wheat- SC-MS,35.63976591,9.983399136,0
2930,3734,3919,4405,4746,5745,5507,3518,2760,2124,1782,1819,1866,1873,1980,2092,2195,2182,2443,2130,1750,2082,2529,2,5,269,cropland,irrigated,Orchard,Olive Orchard,Irrigated-Olive Orchards/Wheat-SC-SS,35.64275284,9.989020946,0
2961,3422,4390,4045,4647,4969,5563,5601,4563,3120,2973,2385,2269,2077,2103,2135,2094,2273,2914,2936,2624,2690,2524,2,5,276,cropland,Rainfed,Orchard,Olive Orchard,Rainfed - Olive Orchards/Barley- SC-MS,35.86150668,9.699753098,0
3167,4073,5377,5940,6603,6945,6805,5838,3551,2126,1706,1732,1661,1630,1672,1575,1883,1782,2125,2457,3132,3649,3259,2,5,280,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-Olive Orchards/Barley-SC-SS,35.85149205,9.540579672,0
3540,3228,8245,8510,8635,8899,8901,8448,5815,2122,2004,1997,1891,1784,1759,1799,1705,1361,1439,1282,1433,1552,1654,2,5,284,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-Olive Orchards/Wheat-SC-LS,36.02876994,9.41773099,0
3295,2767,3781,4356,4761,4920,4169,3035,2147,1961,2250,1904,2086,1690,1715,1722,1590,1801,1727,2088,3529,3698,2836,2,5,287,cropland,Rainfed,Orchard,Olive Orchard,Rainfed - orchards (olive/Amandier)/Oats -DC-SS,36.15010061,9.330213982,0
4823,4341,6706,7405,8134,8257,7933,6167,3516,2283,2104,2082,1958,1995,1867,1952,1809,1701,1788,2043,2128,3637,5697,2,5,289,cropland,Rainfed,Orchard,Olive/Almond Orchard,Rainfed-Orchards (Olive/Alomnds)/Barren-LS,36.23361932,9.272241956,0
4523,3900,6013,6003,7196,8124,6789,5069,3161,1931,1780,1649,1708,1731,1820,1619,1763,1508,1571,1558,2910,3195,3573,2,5,290,cropland,Rainfed,Orchard,Olive Orchard,Rainfed-Olive Orchards/Wheat (tendre)-SC-LS,36.25615863,9.264313471,0
3091,5517,3331,3963,5395,5306,5212,4147,3246,2108,1799,1649,1688,1800,1779,1755,1610,1521,1602,2653,3209,1772,2858,2,5,294,cropland,Rainfed,Orchard,Almond Orchard,Rainfed- Orchards Almonds/Barren-SC-LS,36.37211111,9.536472222,0
5261,4918,5965,6680,7154,7156,5527,4703,3542,3401,3302,2912,2982,2455,2709,3076,2782,3232,3801,4921,4845,4071,4793,2,5,298,cropland,Rainfed,Orchard,Olive Orchard,Rainfed - orchards (olive/Fodder (oat)) -DC-SS,36.5323989,9.729821079,0
5168,5533,6895,5707,4928,5957,5184,4254,4287,4548,4389,4093,3651,2873,3172,3213,3539,3448,4465,3832,5547,4864,4630,2,5,300,cropland,irrigated,Orchard,Olive Orchard,Irrigated-GW-DC-Olive Orchards/Wheat-VLS,36.63958344,10.88150763,0
7003,7233,7297,7712,7201,7611,6862,5919,4034,3469,2906,2679,2725,2724,2476,2500,2407,2498,2967,3316,3299,3249,5662,2,5,303,cropland,Rainfed,Orchard,Almond Orchard,Rainfed-Orchards Almond/Barren-LS,36.63117052,10.65964613,0
3915,3926,5807,5067,5538,5147,4595,3661,2769,2049,2048,1863,1719,1588,1805,1755,1599,1766,1737,2337,2701,2215,2875,2,5,309,cropland,Rainfed,Orchard,Olive Orchard,Rainfed Olive Orcahards/Barren-SC-LS,36.54287013,9.865470305,0
4950,4970,5627,4109,2917,3944,3670,3160,2554,2289,2288,2090,2028,1889,1869,2019,1843,2074,2160,3561,3486,4256,4475,2,5,312,cropland,Rainfed,Orchard,Olive Orchard,Rainfed - orchards (olive) /Barren-SC-LS,36.70574838,10.06710936,0
6876,7222,7434,7853,7659,7445,7332,6186,4449,3446,3246,2825,2764,3187,2578,2347,2350,2399,2863,3815,4174,3739,4775,0,6,4,cropland,irrigated,Vegetable,Artishow,Irrigated-continuous-artishow,37.05361111,10.02433333,0
6307,5822,7978,7995,7479,7195,7148,6575,4027,3916,3433,2893,2113,2068,1965,2070,1883,1831,2082,2481,2452,2722,3913,0,6,6,cropland,Rainfed,Vegetable,Chickpea,Rainfed-SC-chickpea-LS,37.11045408,9.995044215,0
4450,4028,6101,6188,6383,6587,7006,7061,6822,5297,4030,3409,2938,2155,2163,1930,2009,1648,1968,1905,2633,3795,3748,0,6,19,cropland,Rainfed,Vegetable,Sunflower,Rainfed-SC-sunflower-LS,36.86023508,9.308811441,0
4412,4477,6120,6594,6594,6226,6254,6130,5262,4855,4264,3548,3075,2544,2403,2477,2098,1923,2116,2712,1951,2380,2879,0,6,21,cropland,Rainfed,Vegetable,Sunflower,Rainfed-SC-sunflower-LS,36.83205357,9.187194038,0
7323,8608,8498,8771,8426,8585,8128,7930,5760,2821,2477,2586,2995,2353,3253,2663,2831,3700,5734,5977,5220,5645,3739,0,6,26,cropland,irrigated,Vegetable,Potato,Irrigated-SC-potato/wheat-LS,36.64228412,8.954336058,0
5998,5643,7388,7807,8235,8232,8428,8011,4663,2346,2294,2165,2188,1943,1996,2121,1878,2184,2049,2357,3696,4637,5900,0,6,61,cropland,Rainfed,Vegetable,Peas,Rainfed-SC-peas-MS,36.23018135,8.880611365,0
2649,3097,3916,5597,5648,7068,5219,4093,2975,1585,1520,1451,1268,1378,1314,1420,1316,1210,1805,1503,2428,2423,2235,0,6,100,cropland,Rainfed,Vegetable,Openlands,Rainfed-fallows/openlands,36.1025,10.38416667,0
2499,3421,4511,5764,5760,7153,6933,5414,2883,2109,1815,1603,1597,1527,1629,1647,1608,1350,1619,1363,1446,1504,1574,0,6,114,cropland,irrigated,Vegetable,Watermelon,Irrigated-GW-watermelon-LS,35.95174005,10.02837403,0
4363,4482,5379,5790,4887,6293,5640,5470,4969,4174,3687,3803,4263,5344,5819,6575,5523,5450,5800,4175,5556,4085,5079,0,6,144,cropland,irrigated,Vegetable,Potato,Irrigated-GW-potato-fodder-LS,36.99364255,10.92488739,0
3793,4022,6005,6581,4856,6190,4771,4831,4472,4143,3735,3659,3458,3248,3397,3825,3409,3744,3810,3550,4337,3780,4147,0,6,147,cropland,irrigated,Vegetable,Vegetable,Irrigated-GW-DC-vegetables-vegetables-VLS,36.98262987,10.98425729,0
3712,2914,5224,5859,5003,5870,5851,3885,2258,2341,2375,2061,2288,2235,2490,1970,1786,2567,2697,2230,2471,2399,2977,0,6,271,cropland,irrigated,Vegetable,Tomato,Irrigated-Tomato-SC-MS,35.70207527,10.03008382,0
3100,2413,5563,6505,7181,7574,7428,5053,3471,2349,1900,1721,1580,1615,1606,1721,1810,1577,1453,1737,2791,2712,3902,0,6,291,cropland,Rainfed,Vegetable,Vegetable,Rainfed-Wheat/vegetable (peas)-SC-LS,36.30786838,9.29298038,0
4033,3553,6191,4763,6263,6421,6744,5205,3458,3030,2968,2606,3152,2439,2518,3242,2732,3056,2641,3663,2715,2671,3431,0,6,293,cropland,irrigated,Vegetable,Vegetable,Irrigated-Vegetable(Peas)-SC-MS,36.38484561,9.447408393,0
6383,5437,6179,7469,5687,6079,4828,4715,3486,3185,3625,3744,4153,4225,3471,3738,3911,2827,3103,3308,4466,3685,4810,0,6,299,cropland,irrigated,Vegetable,Vegetable,Irrigated-GW-DC-vegetables-vegetables-VLS,36.71266105,10.92961941,0
7464,6536,7522,7681,7336,6981,7363,6856,6477,6065,6019,5657,5050,5656,4911,5537,5596,5431,6251,6195,6150,6053,6660,0,7,13,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Shrublands/hills/forest,36.96582883,9.522460054,0
7675,7001,7183,1943,5665,7157,7068,7389,7033,6906,6657,6599,6730,6463,6333,6112,6057,5666,5954,6685,6916,6931,3453,0,7,27,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Shrublands/hills/forest,36.66833333,8.751111111,0
6217,5032,6630,6385,6666,5857,5610,6089,5373,4992,4894,5442,4531,4751,4559,4711,4959,4490,4886,5483,5153,5466,5941,0,7,54,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.5113649,9.306699744,0
4959,4029,5102,4796,6024,5784,5750,5189,3925,2503,2437,2234,2054,1959,2115,2451,2066,2465,2355,2412,2505,2658,2897,0,7,64,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.13147256,8.627377164,0
3113,2625,3324,2922,3935,3028,3387,3566,3069,2546,2420,2225,1920,1843,1874,1885,1988,1863,2129,2427,2477,2809,2980,0,7,77,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Waste lands/rangelands,36.09681927,9.471769392,0
6110,5199,5970,6151,5968,5176,5087,5001,4555,3656,4347,3882,3509,3845,3518,4000,4183,3572,3862,4418,3580,5340,5990,0,7,80,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.18528829,9.583286095,0
4313,4955,5620,5436,5270,6033,5836,4937,3325,2086,1984,1813,1893,1738,1721,1746,1825,1954,1947,1879,2946,3240,4566,0,7,83,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/Orchad-VLS,36.28263281,9.444927129,0
6089,6452,6385,6593,5861,5616,5695,5765,5408,4894,4572,4664,4519,4323,3907,4807,4112,4006,4783,5624,5449,6067,6092,0,7,89,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.69073686,10.32229007,0
5948,6311,6521,6836,5543,6577,5905,5662,5372,4750,4544,4493,4923,4138,4480,4170,4000,4517,4255,5720,6108,5650,5710,0,7,90,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.66222222,10.35611111,0
2717,4610,3282,2723,2684,3708,2847,1744,2549,2289,1880,2442,2169,2164,2178,2561,2267,2453,2550,2878,2086,2248,2335,0,7,97,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Waste lands/rangelands,36.34511728,10.51965461,0
2504,2815,3162,3074,3909,3730,3440,2487,1683,1674,1547,1437,1417,1372,1436,1505,1506,1411,1540,1608,1478,2104,1726,0,7,105,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Fallows/Barrenland,35.89722222,10.26111111,0
2446,3091,1840,2547,3063,2077,2160,1961,1561,1340,1509,1240,1195,1204,1257,1473,1228,1686,1623,1685,1992,2023,1895,0,7,107,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Wetlands/waterbodies,35.83350635,10.16365541,0
2353,2618,3110,3642,4463,4123,4195,3515,2507,2287,2614,2100,2028,1815,1686,1903,1653,1950,2138,2542,3300,3863,2298,0,7,108,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Wetlands/waterbodies,35.75248064,10.14357267,0
4888,3359,5814,5570,5185,4617,4083,5001,4184,2463,2409,1983,2111,1826,1565,1800,1692,1556,1845,2428,2191,2030,2722,0,7,118,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Shrublands/hills/forest,36.21211635,10.01890672,0
3927,3809,3694,4709,5588,4375,3636,2625,2997,3303,2585,2428,3161,2041,2688,3077,2567,2088,2174,2375,3263,2167,4303,0,7,125,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.72666667,10.31888889,0
6888,7297,6675,6960,5697,6218,5369,6115,4990,4944,4613,4422,5072,4320,4571,4517,4691,4978,5411,6330,7236,6391,6458,0,7,126,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-VLS,36.71222222,10.35916667,0
4987,4653,5294,5057,4837,5691,4895,4654,4130,3892,3801,3592,3847,3163,3236,3537,3552,3353,3831,4257,5675,4713,5477,0,7,129,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Waste lands/rangelands,36.70214718,10.45608442,0
6463,6067,6422,6093,6063,6778,5800,6054,5698,5336,4986,4979,5020,4778,4717,4736,4559,5004,5558,6429,5642,6109,6476,0,7,138,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forests/shrublands-LS,36.84051014,10.69831303,0
5900,5558,6439,6092,5603,5887,5018,5530,4824,4535,4301,4039,4105,3832,4440,4177,4125,3666,4606,4477,4745,5696,6309,0,7,161,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forest (Pinus halepensis),36.26866691,9.798229909,0
5799,4576,5360,5034,5226,4851,4688,4688,4210,3903,4060,3744,4375,3681,4257,3952,4137,3831,5019,3957,5395,5986,5788,0,7,162,Non-cropland,Non-cropland,Non-cropland,Non-cropland,Forest planted (Eucalyptus),36.23616223,9.759240807,0
