idx,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,BQA,amplitude,phase,class,croptype 
156,0.124285184,303.8143616,302.1261902,0.105332971,0.093205079,0.09005893,0.21457088,0.176207572,0.120168038,0.088379338,0.001159307,20480,0.059362632,1.588588356,0,Others
157,0.106490195,302.9672852,302.0662842,0.08768858,0.076819092,0.066726528,0.192784607,0.20943062,0.132361919,0.069556989,0.001673868,20512,0.111296541,1.948659396,0,Others
158,0.157846451,293.6033936,293.1691589,0.145769149,0.136772156,0.101715021,0.078606121,0.043624561,0.02976427,0.122806653,0.001137218,20512,0.133679308,-0.866193786,0,Others
159,0.117964625,303.9698792,302.3602295,0.097539827,0.088273048,0.072208196,0.295134723,0.180968732,0.109625936,0.079924986,0.001515284,20496,0.150515949,-3.047190393,0,Others
160,0.117481425,300.878479,299.4530029,0.097894475,0.095525645,0.071315408,0.352538198,0.182199866,0.083961695,0.082968436,0.001226448,20512,0.171777677,2.9974622,1,Sugarcane
161,0.136644602,305.2297974,302.9069519,0.116860732,0.10343349,0.090569124,0.229799375,0.259192735,0.193820998,0.097610511,0.001495769,20480,0.119884884,1.228488065,1,Sugarcane
162,0.108292133,303.8156738,303.0029297,0.092640892,0.087118432,0.083825536,0.210004926,0.205077469,0.137775391,0.082770303,0.001512971,20480,0.10481418,2.333866875,1,Sugarcane
163,0.122130923,306.5456543,305.5970459,0.108801603,0.106795624,0.106882423,0.196130782,0.245688543,0.207123339,0.103597723,0.00133312,20480,0.238135958,1.436803593,1,Sugarcane
164,0.113654412,308.5991211,307.0090027,0.097949713,0.091137543,0.095252708,0.182904869,0.222504765,0.172460154,0.091925547,0.001742677,20480,0.078827775,1.944769635,0,Others
165,0.107067868,302.1219788,301.4474487,0.08680284,0.073383622,0.058215767,0.24331817,0.172966152,0.093685918,0.063148722,0.001538776,20512,0.114171265,-2.972369112,0,Others
166,0.117413312,307.7316895,305.9805298,0.10136129,0.095291242,0.097917661,0.242834449,0.28008604,0.204695508,0.09400852,0.001554628,20480,0.123470415,-2.920362497,1,Sugarcane
167,0.114947855,300.7975464,299.4197083,0.096170396,0.090059966,0.076267093,0.241738528,0.174749389,0.096730828,0.083182856,0.001261255,20480,0.072011745,-0.477370406,1,Sugarcane
168,0.141227826,293.3306885,292.8852844,0.123648897,0.106977135,0.077448338,0.04909692,0.033743829,0.028351409,0.095650695,0.001289747,20512,0.081159671,-0.27121624,0,Others
169,0.132792503,305.0002441,303.4085693,0.119456358,0.114847593,0.127783895,0.236625195,0.267081767,0.207624406,0.121164143,0.001599082,20480,0.169687728,2.438663043,1,Sugarcane
170,0.113607675,303.6815796,302.4769287,0.095414966,0.080902889,0.074283004,0.219023347,0.222386628,0.150811344,0.073211312,0.001616545,20496,0.125721575,2.981084388,0,Others
171,0.135880291,303.8694458,302.4523926,0.116237342,0.105986744,0.110223383,0.25369224,0.219002187,0.139885083,0.098008223,0.001434248,20480,0.06783556,-1.311643399,0,Others
172,0.111000702,300.1376648,299.7102661,0.090975881,0.075474337,0.062037431,0.189028636,0.165411919,0.1142819,0.069192007,0.001132484,20512,0.059137202,2.996859201,0,Others
173,0.110367671,304.1817322,302.8370972,0.094199643,0.083889306,0.082210824,0.168125242,0.188398018,0.125966936,0.081631914,0.001694756,20480,0.172495813,2.586190672,1,Sugarcane
174,0.122204751,299.769043,298.6116638,0.101762503,0.094821595,0.081918567,0.282717019,0.214070216,0.133896723,0.06895566,0.001341918,20480,0.054383209,1.023520956,0,Others
175,0.120955296,312.4467773,310.9232178,0.107536122,0.099607401,0.110829435,0.232185349,0.301864922,0.205545127,0.107098863,0.00143353,20480,0.144443098,1.327991661,0,Others
176,0.153576761,305.577301,302.5913391,0.132245988,0.109687366,0.097962663,0.227959394,0.228250504,0.154116362,0.105450101,0.001522711,20480,0.18870668,1.934473,0,Others
177,0.137089133,293.1170349,292.7895813,0.112792879,0.07549388,0.053994838,0.044293191,0.031883564,0.0216919,0.072526872,0.001200927,20512,0.106596828,0.34471421,0,Others
178,0.118789397,299.8746643,298.8504028,0.096602082,0.07735645,0.068369806,0.216637969,0.195784196,0.108291909,0.069074877,0.001601238,20512,0.040476358,-0.597958554,0,Others
179,0.149676546,307.1702576,303.428772,0.128032789,0.103138864,0.094086528,0.183599129,0.265713781,0.197952956,0.099455334,0.001727342,20480,0.023355854,1.355732892,0,Others
180,0.1156727,307.7927856,305.8955688,0.097933941,0.088354096,0.086061418,0.238818258,0.227595925,0.171032846,0.077077597,0.001095474,20480,0.097677089,-3.105674213,0,Others
181,0.153263777,299.5975342,297.5209656,0.131114438,0.109494761,0.087128751,0.291667104,0.191974059,0.092437759,0.1002739,0.001661195,20480,0.156728248,1.773264507,0,Others
182,0.110577986,306.138092,305.4909973,0.092753753,0.080329202,0.076470099,0.186272383,0.180640548,0.128257483,0.07718049,0.001537401,20480,0.081101751,1.370944082,0,Others
183,0.106123902,305.9606018,305.1300659,0.087923661,0.071583383,0.066959627,0.173959225,0.202175498,0.140229255,0.078288943,0.001538776,20512,0.169658731,2.514835698,0,Others
184,0.118819386,302.3643188,301.5860596,0.105760962,0.103060171,0.109948657,0.212017655,0.25024569,0.17596975,0.105152875,0.001539655,20480,0.157528368,2.408067901,1,Sugarcane
185,0.101727352,305.9199829,305.2335205,0.082926303,0.066004924,0.060231112,0.190408796,0.189138353,0.131464094,0.064174779,0.001989613,20512,0.056155006,-2.046576086,0,Others
186,0.124398552,305.6921692,303.8596191,0.107945032,0.097674049,0.085408702,0.222770631,0.218178496,0.143711522,0.091864817,0.001371121,20480,0.071372222,1.011732305,0,Others
187,0.101753697,301.8339233,301.5279541,0.080424525,0.058792997,0.043024451,0.20750092,0.110207573,0.049348727,0.050619557,0.001343544,20512,0.115364801,2.233068867,0,Others
188,0.116636887,301.9616089,300.1929626,0.095541701,0.083013415,0.070280999,0.24458164,0.175757587,0.103131391,0.080470219,0.001822274,20512,0.051648226,1.863173568,0,Others
189,0.165758893,306.656311,304.754364,0.148304254,0.13162002,0.141243011,0.275096387,0.318650514,0.237589076,0.136218414,0.001546618,20480,0.021528445,1.586153025,0,Others
190,0.136388272,301.85672,300.5429077,0.12487936,0.125877187,0.142270565,0.284965754,0.288848758,0.216692924,0.127870664,0.001225934,20480,0.054595708,1.694943697,1,Sugarcane
191,0.125135735,307.5235596,305.5037231,0.108083099,0.097951278,0.101850823,0.209894001,0.25512898,0.185930461,0.10085994,0.001283079,20480,0.014778353,-0.216103299,0,Others
192,0.143312335,303.7886353,302.2383728,0.126444161,0.120844766,0.121620387,0.239187598,0.210718438,0.160449684,0.102833897,0.001290522,20480,0.080691457,2.565094743,0,Others
