idx,P2000,P2015,map,label,P2
7226,889.6309339,1065.667503,2,2. multple->single,905.8173776
7262,311.3335099,253.1763049,2,2. multple->single,215.1998592
7413,489.1460396,246.7589227,1,1. single->mutiple,283.7727611
7417,1237.364174,683.0450137,1,1. single->mutiple,785.5017658
7470,716.0420435,972.2060569,2,2. multple->single,826.3751484
7513,863.6379437,962.1275973,1,1. single->mutiple,1106.446737
7543,1367.397719,1162.38278,2,2. multple->single,988.025363
7632,487.965473,309.1690055,2,2. multple->single,262.7936547
7753,570.0893621,549.7604767,2,2. multple->single,467.2964052
7865,1154.46093,1154.22907,1,1. single->mutiple,1327.363431
7975,991.8354067,732.6434198,2,2. multple->single,622.7469068
8229,854.1814105,1034.686258,1,1. single->mutiple,1189.889197
8359,248.8032596,291.3213258,1,1. single->mutiple,335.0195247
8445,546.142808,258.196426,1,1. single->mutiple,296.9258899
8463,1637.214854,559.0779658,1,1. single->mutiple,642.9396607
8510,892.6740605,759.5572469,1,1. single->mutiple,873.4908339
8534,1048.583401,595.9914061,1,1. single->mutiple,685.390117
8536,1088.651404,498.4061428,1,1. single->mutiple,573.1670642
8547,737.6000961,786.7056044,2,2. multple->single,668.6997637
8594,763.8455705,709.7015404,1,1. single->mutiple,816.1567715
8642,1150.44158,1026.226189,2,2. multple->single,872.2922607
8823,997.086317,855.5981364,2,2. multple->single,727.2584159
8871,1421.161399,1405.556691,1,1. single->mutiple,1616.390195
8929,797.0554032,738.8372729,2,2. multple->single,628.011682
9066,705.9562018,530.4237987,1,1. single->mutiple,609.9873685
9172,584.4895549,849.377187,1,1. single->mutiple,976.7837651
9213,849.356794,488.7606014,1,1. single->mutiple,562.0746916
9318,750.9797632,384.7244034,1,1. single->mutiple,442.4330639
9328,469.9159766,555.4858802,2,2. multple->single,472.1629982
9352,855.7890604,472.5163348,1,1. single->mutiple,543.393785
9496,603.7341125,550.5514502,1,1. single->mutiple,633.1341677
9562,226.3685479,313.1716036,1,1. single->mutiple,360.1473441
9613,419.2856288,250.136201,1,1. single->mutiple,287.6566312
9640,1190.606045,1116.45012,1,1. single->mutiple,1283.917638
9668,967.9005303,849.3139205,2,2. multple->single,721.9168324
9680,880.8261995,700.1351637,2,2. multple->single,595.1148891
9693,1182.154306,841.9767823,1,1. single->mutiple,968.2732996
9758,1307.33511,785.7161785,1,1. single->mutiple,903.5736053
9799,264.1266807,226.830014,1,1. single->mutiple,260.8545161
9810,751.8567805,563.0481969,1,1. single->mutiple,647.5054264
9948,577.8622775,583.8969314,2,2. multple->single,496.3123917
9965,1225.342295,978.8449824,2,2. multple->single,832.018235
9968,650.4815162,1092.14819,2,2. multple->single,928.3259615
