idx,Latitude ,longitude,label,date,cropand,tree,grasse,shrub,water,other,wet-jan-jun-lastyear,dry-jun-dec-lastyear,wet-jan-jun,dry-jun-dec,wet,dry,desc
205,-8.854444444,34.56277778,205) Rainfed-SC-maize-fallow-MS,22-May-13,90,5,2,3,,,maize,fallow,maize,fallow,rainfed,,
206,-8.778055556,34.42722222,206) Shrublands,22-May-13,,25,50,25,,,,,,,,,
207,-8.66,34.31388889,207) Rangleands,22-May-13,,20,60,20,,,,,,,,,
208,-8.734166667,34.29111111,208) Irrigated-SW-SC-rice-fallow-LS,22-May-13,100,,,,,,rice,fallow,rice,fallow,rainfed,,
209,-8.655,34.2525,209) Irrigated-SW-SC-rice-fallow-LS,22-May-13,100,,,,,,rice,fallow,rice,fallow,rainfed,,
210,-8.600555556,34.29472222,210) Irrigated-SW-SC-rice-fallow-LS,22-May-13,100,,,,,,rice,fallow,rice,fallow,rainfed,,
211,-8.798611111,34.31611111,211) Shrublands,22-May-13,,60,20,20,,,,,,,,,
212,-8.855277778,34.05444444,212) Rainfed-SC-maize-fallow-MS,22-May-13,85,5,10,,,,maize,fallow,maize,fallow,rainfed,,
213,-8.655555556,34.07611111,213) Irrigated-SW-SC-rice-fallow-LS,22-May-13,90,5,2,3,,,rice,fallow,rice,fallow,irrigated,,
214,-8.821666667,33.89194444,214) Rainfed-SC-rice-fallow-LS,22-May-13,85,5,5,5,,,rice,fallow,rice,fallow,rainfed,,
215,-8.813333333,33.86583333,215) Irrigated-SW-SC-rice-fallow-LS,22-May-13,90,5,2,3,,,rice,fallow,rice,fallow,irrigated,,
216,-8.810555556,33.87277778,216) Irrigated-SW-SC-rice-fallow-LS,22-May-13,70,10,10,10,,,rice,fallow,rice,fallow,irrigated,,
217,-8.811944444,33.87138889,217) Irrigated-SW-SC-rice-fallow-LS,22-May-13,70,10,10,10,,,rice,fallow,rice,fallow,irrigated,,
218,-8.838333333,33.84277778,218) Irrigated-SW-SC-rice-fallow-LS,22-May-13,70,10,10,10,,,rice,fallow,rice,fallow,irrigated,,
219,-8.809444444,33.82277778,219) Irrigated-SW-SC-rice-fallow-LS,22-May-13,70,10,10,10,,,rice,fallow,rice,fallow,irrigated,,
220,-8.784444444,33.79111111,220) Irrigated-SW-SC-rice-fallow-LS,22-May-13,70,10,10,10,,,rice,fallow,rice,fallow,irrigated,,
221,-8.768055556,33.72111111,221) Irrigated-SW-SC-rice-fallow-LS,22-May-13,70,10,10,10,,,rice,fallow,rice,fallow,irrigated,,
222,-8.863611111,33.62138889,222) Rainfed-SC-maize-fallow-MS,22-May-13,85,2,3,10,,,maize,fallow,maize,fallow,rainfed,,
223,-8.893333333,33.59555556,223) Rainfed-SC-maize-fallow-MS,22-May-13,75,10,5,10,,,maize,fallow,maize,fallow,rainfed,,
224,-8.931111111,33.58111111,224) Rainfed-DC-wheat/maize/vegetables-VLS,22-May-13,95,2,1,2,,,wheat,vegetables,wheat,vegetables,rainfed,,
225,-9.166944444,33.49055556,225) Rainfed-SC-banana/beans-LS,22-May-13,75,10,5,5,,,tea plantaions,,tea plantaions,,rainfed,,
226,-9.209444444,33.59638889,226) Tea plantationbs,22-May-13,95,,5,,,,tea plantaions,,tea plantaions,,rainfed,,
227,-9.286944444,33.65138889,227) Tea plantationbs,22-May-13,95,,5,,,,tea plantaions,,tea plantaions,,rainfed,,
228,-9.541388889,33.76305556,228) cocoa plantations,22-May-13,,70,10,20,,,cocoa plantations,,cocoa plantations,,rainfed,,
229,-9.561944444,33.85527778,229) Rainfed-SC-rice-fallow-LS,22-May-13,100,,,,,,rice,fallow,rice,fallow,rainfed,,
230,-9.57,33.87277778,230) Rainfed-SC-rice-fallow-LS,22-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
231,-9.616388889,33.87666667,231) Rainfed-SC-rice-fallow-LS,22-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
232,-9.611388889,33.9025,232) Rainfed-SC-rice-fallow-LS,22-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
233,-9.621111111,33.84916667,233) Rainfed-SC-rice-fallow-LS,22-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
234,-9.629166667,33.91361111,234) Rainfed-SC-rice-fallow-LS,22-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
235,-9.571111111,33.76972222,235) Rainfed-SC-rice-fallow-LS,22-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
,,,236) Rainfed-SC-maize-fallow-LS,23-May-13,90,2,4,4,,,maize,fallow,maize,fallow,rainfed,,
,,,237) Rainfed-SC-maize-fallow-LS,23-May-13,91,1,4,4,,,maize,fallow,maize,fallow,rainfed,,
,,,238) Rainfed-SC-maize-fallow-LS,23-May-13,95,2,1,2,,,maize,fallow,maize,fallow,rainfed,,
,,,239) Forests/shrublands,23-May-13,,85,5,10,,,,,,,,,
,,,240) Rainfed-SC-maize-fallow-SS,23-May-13,40,20,10,30,,,maize,fallow,maize,fallow,rainfed,,
,,,241) Rainfed-SC-maize-fallow-LS,23-May-13,60,20,10,10,,,maize,fallow,maize,fallow,rainfed,,
,,,242) Irrigated-GW-sugarcane-VLS,23-May-13,100,,,,,,sugarcane,,sugarcane,,groundwater,,
,,,243) Irrigated-SC-rice-fallow-LS,23-May-13,85,5,,10,,,rice,fallow,rice,fallow,rainfed,,
,,,244) Irrigated-SW-DC-rice-rice-LS,23-May-13,95,2,1,2,,,rice,rice,rice,rice,irrigated,,
,,,245) Irrigated-SW-DC-rice/sugarcane-sugarcane-VLS,23-May-13,90,5,2,3,,,sugarcane/rice,rice,sugarcane/rice,rice,irrigated,,
,,,246) Irrigated-GW-sugarcane-VLS,23-May-13,100,,,,,,sugarcane,,sugarcane,,groundwater,,
,,,247) Irrigated-SW-DC-rice-rice-VLS,23-May-13,92,2,3,3,,,rice,rice,rice,rice,irrigated,,
,,,248) Irrigated-SW-DC-rice-rice-VLS,23-May-13,92,2,3,3,,,rice,rice,rice,rice,irrigated,,
,,,249) Rainfed-SC-rice-fallow-VLS,23-May-13,90,5,2,3,,,rice,fallow,rice,fallow,rainfed,,
,,,250) Rainfed-SC-rice-fallow-VLS,23-May-13,80,2,9,9,,,rice,fallow,rice,fallow,rainfed,,
,,,251) Rainfed-SC-rice-fallow-VLS,23-May-13,100,,,,,,rice,fallow,rice,fallow,rainfed,,
,,,252) Forests/shrublands,23-May-13,,60,20,20,,,,,,,,,
,,,253) Rainfed-DC-vegetables-vegetables-MS,23-May-13,70,10,10,10,,,vegetables,vegetables,vegetables,vegetables,rainfed,,
,,,254) Rainfed-SC-bajra/jowar-fallow-LS,23-May-13,85,5,5,5,,,bajra/jowar,fallow,bajra/jowar,fallow,rainfed,,
,,,255) Rainfed-SC-bajra/jowar-fallow-LS,23-May-13,80,10,5,5,,,bajra/jowar,fallow,bajra/jowar,fallow,rainfed,,
,,,256) Rainfed-SC-rice-fallow-VLS,23-May-13,70,5,20,5,,,rice,fallow,rice,fallow,rainfed,,
,,,257) Rainfed-SW-rice-fallow-LS,23-May-13,75,5,15,5,,,rice,fallow,rice,fallow,rainfed,,
,,,258) Rainfed-SC-rice-fallow-LS,23-May-13,80,5,10,5,,,rice,fallow,rice,fallow,rainfed,,
,,,259) Rainfed-SC-rice-fallow-LS,23-May-13,85,5,5,5,,,rice,fallow,rice,fallow,rainfed,,
,,,260) Rainfed-SC-rice-fallow-LS,23-May-13,98,,1,1,,,rice,fallow,rice,fallow,rainfed,,
,,,261) Rainfed-SC-rice-fallow-LS,23-May-13,90,5,2,3,,,rice,fallow,rice,fallow,rainfed,,
,,,262) Rainfed-SC-rice-fallow-SS,23-May-13,85,2,8,5,,,rice,fallow,rice,fallow,rainfed,,
,,,263) Rainfed-SC-maize-fallow-VLS,23-May-13,80,5,5,10,,,maize,fallow,maize,fallow,rainfed,,
,,,) ,,,,,,,,,,,,,,
,,,) ,,,,,,,,,,,,,,
,,,) ,,,,,,,,,,,,,,
,,,) ,,,,,,,,,,,,,,
,,,) ,,,,,,,,,,,,,,
,,,) ,,,,,,,,,,,,,,
,,,) ,,,,,,,,,,,,,,
