idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,latitude,longitude,desc
311,0.35885,0.24395,0.14805,0.1582,0.19825,0.2143,0.242,0.27055,0.26185,0.29695,1,36.64447998,10.03661979,
10,0.15975,0.07705,0.10205,0.0966,0.0766,0.10795,0.2454,0.29155,0.2633,0.31285,0,37.10696604,9.713313324,
11,0.2358,0.13925,0.1232,0.1244,0.15635,0.1863,0.2304,0.27135,0.27055,0.3103,0,37.05841343,9.684309171,
12,0.1682,0.087,0.1078,0.1005,0.0799,0.1197,0.2547,0.2836,0.2702,0.3108,0,37.01202116,9.619566441,
14,0.1478,0.0638,0.0989,0.0973,0.0639,0.1097,0.2972,0.3615,0.3487,0.3786,0,36.92527485,9.473855612,
15,0.2109,0.1162,0.1035,0.1014,0.0853,0.1244,0.2718,0.3514,0.3306,0.359,0,36.8886991,9.435487751,
47,0.3312,0.2185,0.1352,0.15,0.1723,0.1954,0.2402,0.2724,0.2594,0.291,0,36.7468581,9.962522265,
59,0.2235,0.1368,0.1117,0.1114,0.0984,0.1626,0.3376,0.401,0.3944,0.4486,0,36.37957545,9.227623038,
148,0.2576,0.15015,0.11845,0.12015,0.132,0.1729,0.25715,0.29645,0.29235,0.3398,0,36.90844295,11.01804465,
149,0.26445,0.168,0.12975,0.13045,0.16095,0.17455,0.24055,0.26875,0.2721,0.29835,0,36.88933051,11.04017894,
168,0.2227,0.13545,0.1089,0.11325,0.10485,0.1389,0.23525,0.2627,0.25495,0.2789,0,36.07037564,9.332744383,
306,0.3456,0.2345,0.1218,0.1275,0.1438,0.1774,0.2422,0.2727,0.2646,0.2967,0,36.51890653,9.820648904,
50,0.1765,0.0972,0.1084,0.1285,0.088,0.1538,0.315,0.3475,0.3565,0.3935,0,36.651282,9.681405273,
113,0.21645,0.11035,0.1073,0.1068,0.077,0.1282,0.2569,0.30825,0.30235,0.3419,0,35.91320011,10.04533389,
142,0.24875,0.1415,0.12175,0.12645,0.13285,0.1814,0.25955,0.29985,0.30125,0.344,0,36.92253769,10.85940888,
154,0.35725,0.25095,0.15215,0.17005,0.2192,0.24015,0.28235,0.3131,0.30675,0.3422,0,36.56732727,10.07944075,
157,0.326,0.2205,0.144,0.1508,0.189,0.2058,0.244,0.2784,0.281,0.3155,0,36.47978545,9.932762362,
159,0.36285,0.2646,0.16005,0.1729,0.2118,0.2285,0.2554,0.285,0.2803,0.308,0,36.35644773,9.877469605,
171,0.16535,0.07445,0.09095,0.0932,0.05645,0.11375,0.3723,0.51085,0.5019,0.54535,0,35.94040148,9.232409414,
182,0.45435,0.3651,0.1727,0.2101,0.2867,0.3035,0.3453,0.37905,0.35505,0.3987,0,35.25245544,9.006132437,
285,0.1721,0.0969,0.1008,0.09795,0.0786,0.11725,0.29755,0.3973,0.39115,0.421,0,36.05315726,9.409316793,
297,0.1722,0.0977,0.1053,0.1023,0.0801,0.1286,0.2873,0.3289,0.3267,0.3666,0,36.46559263,9.665539591,
5,0.3111,0.2264,0.148,0.1493,0.1764,0.1847,0.2349,0.2574,0.2417,0.277,0,37.06531541,10.01458711,
9,0.3881,0.2668,0.1519,0.1632,0.1951,0.2309,0.2976,0.336,0.3424,0.3805,0,37.12457497,9.787591405,
65,0.2729,0.1848,0.12,0.13,0.1375,0.1827,0.2609,0.297,0.2898,0.3257,0,36.05552858,8.6019564,
79,0.2066,0.10785,0.10085,0.10315,0.08555,0.148,0.285,0.3321,0.3249,0.36425,0,36.12134796,9.591232168,
96,0.3824,0.2788,0.131,0.1396,0.18605,0.20795,0.2505,0.28415,0.2807,0.3157,0,36.46902324,10.57087585,
122,0.2819,0.1799,0.1143,0.115,0.1249,0.1644,0.2509,0.2868,0.2885,0.3193,0,36.30638409,9.972834102,
123,0.3203,0.2171,0.1599,0.185,0.201,0.2245,0.3053,0.3445,0.3329,0.367,0,36.35348027,9.920576556,
133,0.34705,0.23035,0.15365,0.1689,0.21795,0.2401,0.27995,0.31295,0.30815,0.3503,0,36.7647411,10.58659208,
