description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2128,1711.5,1689.5,1862,2378,2432.5,2739,3054,2897,3345.5,561.5,16.5,4170.5,2851,,,,100,9.820648904,Fababean,Rainfed Fodder (Faba bean) -SC-MS,0
,2114,2008.5,1670,1747,2010,2195.5,2702.5,3013.5,2658.5,3263.5,831.5,35,3723.5,2749.5,,,,25,9.845295583,Barley/Wheat,Irrigated-Wheat/barley- SC-LS,0
,2113,1623.5,1486.5,1551,1944.5,2006,2220.5,2508.5,2427.5,2839.5,530,15.5,4176,3101,,,,100,9.768505098,Barley/Wheat,Irrigated-Wheat-SC-SS,0
,2293,1718,1822,2027,2411.5,2492.5,2961.5,3330,3224,3620.5,661,48,3981,2917,,,,10,9.729821079,Orchard,Rainfed - orchards (olive/Fodder (oat)) -DC-SS,0
,2051,1547.5,1372.5,1360,1545,1544,1646.5,1818,1689,1957.5,363,17,2438,1624,,,,100,9.662220746,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2111,1968,1932,2226,2750.5,2877,3401.5,3829,3557.5,4137.5,808.5,19,4572.5,3343,,,,10,9.649261176,Barley/Wheat,Rainfed - Wheat/Barley-SC-LS,0
,2138,1683.5,1500.5,1578,2076.5,2236,2509,2811.5,2501.5,3101.5,662,27,3980,2937,,,,97,9.665539591,Fodder,Rainfed Fodder (Fungrek) -SC-LS,0
,2050,1643.5,1500.5,1682.5,2366,2503.5,2724.5,3013.5,2786,3336,623.5,18,4372,3274,,,,98,9.660269482,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2049,1720.5,1857.5,1781,2020.5,2051,2205,2417,2422,2587,525,41,3360,2511,,,2048,100,9.642127564,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2110,1674,1554,1573,1802,1815,1936,2100.5,1944.5,2224,460,15.5,2856,2068,,,,100,9.656444581,Barley/Wheat,Rainfed-Wheat-SC-LS,0
