idx,Longitude,Latitude,label,cropland,tree,grass,shrub,water,other,desc
71.000000,-6.098778,13.339194,Rainfed-SC-sorghum-MS,60,2,,38,,,
72.000000,-6.125278,13.357500,Shrublands/barrenlands,,,,100,,,
73.000000,-6.156194,13.383444,Rainfed-SC-millet-LS,90,0.5,0.5,8,0.5,0.5,
74.000000,-6.338694,13.399111,Rainfed-SC-millet-LS,98,0.5,0.5,,,1,
75.000000,-6.375444,13.359639,Rainfed-SC-cassava-LS,98,1.5,,,,0.5,
76.000000,-6.418444,13.308167,Rainfed-SC-millet-LS,96,3,,,,1,
77.000000,-6.488333,13.200278,Rainfed-SC-millet-LS,99,1,,,,,
78.000000,-6.546667,13.140278,Shrublands-LS,,,,100,,,
79.000000,-6.587750,13.120778,Rainfed-SC-millet-VLS,96,0.5,,3.5,,,
80.000000,-6.740556,12.938889,Shrublands/barrenlands,5,,,95,,,
81.000000,-6.811111,12.900278,Rainfed-SC-sorghum-LS,94,2,,,0.5,3.5,
82.000000,-6.832222,12.890556,Rainfed-SC-millet-VLS,97,1,,0.5,,1.5,
83.000000,-6.897500,12.855000,Rainfed-SC-cotton/maize-LS,96,1,,3,,,
84.000000,-7.100833,12.760833,Rainfed-SC-cotton-LS,94,1.5,,4,,0.5,
85.000000,-7.177694,12.759278,Rainfed-SC-sorghum-LS,87,1,,10,,2,
86.000000,-7.315278,12.736944,Rainfed-SC-cotton/sorghum-LS,96,1.5,,2.5,,,
87.000000,-7.403889,12.728056,Rainfed-SC-sorghum/millet-LS,96,1.5,,1.5,,1,
88.000000,-7.537778,12.643611,Shrublands/forests/trees,,,,100,,,
89.000000,-8.248333,12.586667,Shrublands/forests/trees,,,,100,,,
90.000000,-7.753889,12.586667,Rainfed-SC-millet/sorghum-LS,96,2,,1.5,,0.5,
91.000000,-8.049444,12.738333,Rangelands/shrublands,,,,100,,,
92.000000,-8.183639,12.795306,Rainfed-SC-maize-LS,98,1.5,,,,0.5,
93.000000,-8.229167,12.807500,Rainfed-SC-sorghum-MS,98,1,,,,1,
94.000000,-8.284583,12.829139,Rainfed-SC-vegetables/maize-VVLS,94,2.5,,3.5,,,
95.000000,-8.638333,12.919722,Shrublands/trees-VLS,,,,100,,,
96.000000,-8.663833,12.940750,Rainfed-SC-cotton-VVLS,97,1.5,,1.5,,,
97.000000,-8.979444,12.958333,Shrublands/forests/trees,,,,100,,,
98.000000,-9.040833,12.958333,Rainfed-SC-maize-MS,85,2.5,,8,,4.5,
99.000000,-9.208333,12.958333,Rainfed-SC-maize-MS,96,2,0,2,,,
100.000000,-10.324167,12.976944,Water,,,,,100,,
101.000000,-9.557500,13.023889,Rainfed-SC-maize-MS,60,1.5,1.5,37,,,
102.000000,-9.651944,13.020833,Rainfed-SC-cotton/maize/groundnut-LS,85,2,,12,,1,
103.000000,-9.735000,12.974722,Rainfed-SC-maize-LS,96,1.5,,,2.5,,
104.000000,-9.878889,12.986111,Rainfed-SC-maize-LS,96,3,0.5,,0.5,,
105.000000,-9.874722,13.079444,Rainfed-SC-groundnut/cotton-MS,80,2,,18,,,
106.000000,-9.903889,13.128611,Rainfed-SC-sorghum/maize-LS,85,2.5,0.5,11,,1,
107.000000,-10.021389,13.189167,Rainfed-SC-maize-MS,90,1.5,0.5,5,,3,
108.000000,-10.079722,13.193056,Rainfed-SC-sorghum-SS,80,3,,17,,,
109.000000,-10.121111,13.243611,Rangelands/shrublands,,,,100,,,
110.000000,-10.136667,13.248611,Rainfed-SC-cotton-MS,91,1,,8,,,
111.000000,-10.315000,13.281944,Rainfed-SC-maize-SS,80,2,,15,,3,
112.000000,-10.424167,13.248611,Rainfed-SC-maize/sorghum-MS,30,,,70,,,
113.000000,-10.464306,13.219444,Rainfed-SC-rice/maize/sorghum-SS,87,2,,5,,6,
114.000000,-10.545222,13.298556,Rainfed-SC-groundnut/maize-LS,85,1,,14,,,
115.000000,-10.743889,13.481944,Shrublands/forests/trees,,,,100,,,
116.000000,-10.825056,13.648222,Rainfed-Scmaize-MS,80,4,,10,5,1,
117.000000,-10.867222,13.716389,Irrigated-DC-rice-maize-MS,100,,,,,,
118.000000,-10.833056,13.792222,Rainfed-SC-cassava-LS,87,3,,,5,5,
119.000000,-10.819611,13.817111,Rainfed-SC-groundnut/sorghum-LS,97,0.5,,2,,0.5,
120.000000,-10.750833,13.935556,Forests/shrublands,,,,100,,,
