idx,B3,B4,B5,crop,nd,slope,type
641,0.19072254,0.20061815,0.27960658,0,-0.019801619,2.4952302,Non-Crop
642,0.13335234,0.13035035,0.28726935,1,-0.064760275,2.4897237,Crop
643,0.18526338,0.22660132,0.35858145,1,-0.007631158,1.4763308,Crop
644,0.17428255,0.20328273,0.3335101,1,-0.021115363,3.5588706,Crop
645,0.16953318,0.20056184,0.34943676,1,-0.009749581,2.4801042,Crop
646,0.1798796,0.21931002,0.36299285,1,-9.21E-04,1.155796,Crop
647,0.17322618,0.20261754,0.33471882,1,-0.027132804,2.1855102,Crop
648,0.12536098,0.13968953,0.31338075,1,-0.048756275,0,Crop
649,0.20227914,0.25584367,0.34790057,0,-0.012590804,5.7984695,Non-Crop
650,0.26126966,0.33232656,0.4596208,0,0.01539568,4.6273675,Non-Crop
651,0.16884433,0.21853063,0.33283365,1,-0.036944997,2.4744415,Crop
652,0.18945447,0.1980635,0.25999588,0,-0.017134741,4.710649,Non-Crop
653,0.19066995,0.21199755,0.28249335,0,-0.022624735,1.4837581,Non-Crop
654,0.1047641,0.09339132,0.25666878,0,-0.06758762,21.51074,Non-Crop
655,0.20281377,0.220186,0.29223788,0,-0.008845289,3.5882678,Non-Crop
656,0.13584599,0.1387834,0.31585035,1,-0.046953954,3.0105755,Crop
657,0.11790282,0.13636278,0.29524073,1,-0.06440308,1.4780995,Crop
658,0.17810114,0.22579527,0.33927476,0,-0.019644246,12.562658,Non-Crop
659,0.19509113,0.21970838,0.31364483,0,-0.00938616,14.892492,Non-Crop
660,0.18892053,0.23069572,0.30346683,1,-0.015010168,2.475765,Crop
661,0.15913644,0.16970296,0.27739936,0,-0.020161662,5.069792,Non-Crop
662,0.15121473,0.1760533,0.30458087,0,-0.04126592,2.1830204,Non-Crop
663,0.18054976,0.21901806,0.37314048,0,-0.007659859,5.3732376,Non-Crop
664,0.20752414,0.2313814,0.2926911,0,-0.003655295,3.4688442,Non-Crop
665,0.16815288,0.21531929,0.3494408,1,-0.014467204,4.3557267,Crop
666,0.13831122,0.1459775,0.30808064,0,-0.036958933,2.1799815,Non-Crop
667,0.16940425,0.21029276,0.30850092,1,-0.02336612,0.92740995,Crop
668,0.14445835,0.15920535,0.3567199,1,-0.031488977,1.8543341,Crop
669,0.17913133,0.22689778,0.33894587,0,-0.01867039,11.345947,Non-Crop
670,0.12527367,0.12401986,0.26843297,0,-0.048192807,25.922033,Non-Crop
671,0.16651012,0.18722957,0.32318148,1,-0.029870296,3.007144,Crop
672,0.17156939,0.23004732,0.33409587,0,-0.02424458,4.4333367,Non-Crop
673,0.15638132,0.18926817,0.347651,1,-0.017060196,1.1525961,Crop
674,0.1951346,0.25102055,0.35237026,0,-0.008855988,3.877837,Non-Crop
675,0.16531947,0.18497777,0.26247412,0,-0.023352554,4.691315,Non-Crop
676,0.14654754,0.16297019,0.34744582,1,-0.045045335,0.92740995,Crop
677,0.1895289,0.21939163,0.34438914,1,-0.00387211,7.954795,Crop
678,0.21739069,0.25701055,0.37098846,1,-0.004215892,3.4669037,Crop
679,0.15681782,0.18390946,0.3861495,0,-0.027598435,5.9043593,Non-Crop
680,0.19510801,0.22279441,0.3713731,1,-0.002423036,5.3849735,Crop
681,0.21655586,0.2533047,0.3917532,0,0.002046786,7.4661283,Non-Crop
682,0.17640975,0.19276457,0.2724818,0,-0.019717522,3.5888479,Non-Crop
683,0.14140664,0.15482903,0.2892484,1,-0.054288935,1.481461,Crop
