Country,Land,ADM0,region,aqua_land,aqua_cultivable,aqua_2002,pot_ir,pot_rf,faostat_tot,faostat_irrigated,MIRCA,calAH_TOT,calAH_RF_ha,calAH_IR_ha,MMGA_TOT_ha,MMGA_RF_ha,MMGA_IR_ha,GCEV2,GCEV2_RF,GCEV2_IR,GLC30,GRIPC
Morocco,67.76767595,169,1,"44,655,000","10,000,000",9283000,"1,664,000","8,336,000",22788086,"23,464,990",9677860,6830690,5362090,1468600,6224467,5096875,1186827,7745678,3753954,3991724,8059570,6177669
Mozambique,78.5747748,170,6,"80,159,000","36,000,000",4435000,"3,072,000","32,928,000",12025663,"19,136,937",4818695,3133583,3093520,40063,3389400,3356673,35026,3608280,3105437,502843,5796690,1300924
Namibia,82.38587211,172,6,"82,429,000","25,000,000",820000,"47,300","24,952,700",1414516,"1,267,298",820872,194679,185873,8806,192236,185874,6389,795890,791318,4571,799606,4142
Niger,118.1155731,181,2,"126,700,000","16,500,000",4500000,"270,000","16,230,000",36141362,"54,037,044",14525639,10334327,10238201,96125,10289666,10238674,55479,6610783,6547579,63204,6601532,1062154
Nigeria,90.5552042,182,3,"92,377,000","61,000,000",33000000,"2,330,510","58,669,490",128485919,"130,334,559",38622760,37016759,36852759,164000,35908916,35808438,124394,27563734,27098594,465139,28200434,39303909
Rwanda,2.530975421,205,5,"2,634,000","1,511,400",1385000,"165,000","1,346,400",4167804,"5,604,219",1288966,1355142,1349642,5500,1288966,1286550,2417,1195503,1162662,32841,1201024,1677333
Saint Helena,0.043035272,207,4,,,0,,,,,,,,,,0,0,206,198,9,,0
Sao Tome and Principe,0.100317593,214,4,"96,000","55,000",54000,"10,700","44,300",92627,"86,740",27753,25115,15415,9700,24571,14871,9700,384,375,9,840,2806
Senegal,19.51848318,217,2,"19,672,000","3,800,000",2506000,"409,000","3,391,000",8574964,"7,471,912",2521744,1777506,1693602,83904,1623239,1571664,53904,3288231,3164535,123695,3321079,5649601
Seychelles,0.045634503,220,7,"45,000",-,7000,"1,000",-,6697,"5,183",260,224,0,224,224,0,224,9,,9,,3800
Sierra Leone,7.227620829,221,3,"7,174,000","5,360,000",600000,"807,000","4,553,000",1297779,"4,219,453",674909,507979,477979,30000,434204,417570,20500,81425,65777,15648,91601,873145
Somalia,63.25926566,226,2,"63,766,000","8,150,000",1071000,"240,000","7,910,000",2647021,"2,269,989",1211511,546769,340769,206000,544951,344951,200000,1534570,1155336,379235,1540439,1951773
South Africa,121.9971796,227,6,"121,909,000","18,320,000",15712000,"1,500,000","16,820,000",24220331,"21,043,269",15701036,7432449,5768149,1664300,6702720,5255742,1448036,14978169,13090312,1887857,15197498,10990320
South Sudan,62.42720969,74,2,,,0,,,,,,,,,,,,920137,911417,8720,,0
Sudan,186.8826623,6,2,"250,581,000","105,000,000",16653000,"2,784,000","13,869,000",38604700,"56,695,024",18402658,11453438,10245328,1208110,9352236,8499568,883921,18931606,16746003,2185603,19937439,10430580
Swaziland,1.739007419,235,6,"1,736,000",-,190000,"93,220","96,780",528959,"485,909",238958,179961,134479,45482,179777,134295,45482,367981,351058,16923,516000,190325
Togo,5.665963839,243,3,"5,679,000","3,400,000",2630000,"180,000","2,450,000",4538503,"5,850,975",2628434,1378997,1376440,2557,1108564,1107004,2400,1461414,1437516,23898,1728420,1530051
Tunisia,15.50320737,248,1,"16,361,000","8,700,000",4908000,"560,000","4,348,000",8337084,"8,202,764",2513882,2057126,1690126,367000,2014861,1658472,367000,4488331,3816490,671841,4531776,2213444
Uganda,24.13445873,253,5,"24,104,000","16,800,000",7200000,"90,000","7,110,000",17939739,"21,447,559",8578105,6290571,6288241,2330,5900495,5898725,2025,5868263,5645833,222430,6239908,9368419
United Republic of Tanzania,93.97856829,257,5,"94,509,000","40,000,000",5100000,"2,132,221","2,967,779",21311104,"47,877,491",5672792,5868457,5641457,227000,5139629,4999837,141564,16897583,14862660,2034923,18245194,4570704
Zambia,75.11501381,270,6,"75,261,000","16,350,000",5289000,"523,000","4,766,000",4317092,"7,386,738",5432542,1126459,1071072,55387,1136181,1091761,48816,4520350,4247538,272812,6494062,228403
Zimbabwe,39.06930862,271,6,"39,076,000",-,3350000,"365,624","2,984,376",10368262,"8,846,046",3534894,2260077,2057261,202816,2209247,2075325,135570,7878959,7499355,379603,8968924,96023
