idx,latitude,longitude,label,l1,l2,l3,l4,code1,class,cropland,orchard,soilcover,tree,grass,shrub,other,photo,photo1,photo2,use,desc
266,35.60426692,9.842767592,Rainfed - orchards (Almond)/Barren -SC-LS,cropland,Rainfed,Orchard,Almond Orchard,5,2,,50,50,0,0,0,0,266)Rainfed - orchards (Almond) -SC-LS,,,0,
267,35.60093687,9.890474965,Irrigated-orchards (Olive)/Wheat - DC-SS,cropland,irrigated,Orchard,Olive Orchard,5,2,,60,40,0,0,0,0,267)Irrigated-orchards (Olive)/Wheat - DC-SS,,,0,
268,35.63976591,9.983399136,Irrigated- Olive Orchards/Wheat- SC-MS,cropland,irrigated,Orchard,Olive Orchard,5,2,81,10,8,0.5,0,0,0.5,268)Irrigated- Olive Orchards/Wheat- SC-MS,,,0,
269,35.64275284,9.989020946,Irrigated-Olive Orchards/Wheat-SC-SS,cropland,irrigated,Orchard,Olive Orchard,5,2,90,,,1,0,0,9,269)Irrigated-Olive Orchards/Wheat-SC-SS,,,0,
276,35.86150668,9.699753098,Rainfed - Olive Orchards/Barley- SC-MS,cropland,Rainfed,Orchard,Olive Orchard,5,2,99,,,1,0,0,0,276)Rainfed - Olive Orchards/Barley- SC-MS,,,0,
280,35.85149205,9.540579672,Rainfed-Olive Orchards/Barley-SC-SS,cropland,Rainfed,Orchard,Olive Orchard,5,2,100,,,0,0,0,0,280)Rainfed-Olive Orchards/Barley-SC-SS,,,0,
284,36.02876994,9.41773099,Rainfed-Olive Orchards/Wheat-SC-LS,cropland,Rainfed,Orchard,Olive Orchard,5,2,100,,,0,0,0,0,284)Rainfed-Olive Orchards/Wheat-SC-LS,,,0,
287,36.15010061,9.330213982,Rainfed - orchards (olive/Amandier)/Oats -DC-SS,cropland,Rainfed,Orchard,Olive Orchard,5,2,10,45,40,0,0,4,1,287)Rainfed - orchards (olive/Amandier)/Oats -DC-SS,,,0,
289,36.23361932,9.272241956,Rainfed-Orchards (Olive/Alomnds)/Barren-LS,cropland,Rainfed,Orchard,Olive/Almond Orchard,5,2,100,,,0,0,0,0,289)Rainfed-Orchards (Olive/Alomond)-LS,,,0,
290,36.25615863,9.264313471,Rainfed-Olive Orchards/Wheat (tendre)-SC-LS,cropland,Rainfed,Orchard,Olive Orchard,5,2,97,,,0,0,1.5,1.5,290)Rainfed-Olive Orchards/Wheat (tendre)-SC-LS,,,0,
294,36.37211111,9.536472222,Rainfed- Orchards Almonds/Barren-SC-LS,cropland,Rainfed,Orchard,Almond Orchard,5,2,97,,,1,0,1,1,294)Rainfed-Orchards Almond-SC-LS,,,0,
298,36.5323989,9.729821079,Rainfed - orchards (olive/Fodder (oat)) -DC-SS,cropland,Rainfed,Orchard,Olive Orchard,5,2,10,45,35,0,0,0,10,298)Rainfed - orchards (olive/Fodder (oat)) -DC-SS,,,0,
300,36.63958344,10.88150763,Irrigated-GW-DC-Olive Orchards/Wheat-VLS,cropland,irrigated,Orchard,Olive Orchard,5,2,99,,,0,0,0,1,300)Irrigated-GW-DC-Olive Orchards/Wheat-VLS,,,0,
303,36.63117052,10.65964613,Rainfed-Orchards Almond/Barren-LS,cropland,Rainfed,Orchard,Almond Orchard,5,2,85,10,5,0,0,0,0,303)Rainfed-Orchards Alomnd-LS,,,0,
309,36.54287013,9.865470305,Rainfed Olive Orcahards/Barren-SC-LS,cropland,Rainfed,Orchard,Olive Orchard,5,2,100,,,0,0,0,0,309)Rainfed Olive Orchards -SC-LS,,,0,
312,36.70574838,10.06710936,Rainfed - orchards (olive) /Barren-SC-LS,cropland,Rainfed,Orchard,Olive Orchard,5,2,5,50,45,0,0,0,0,312)Rainfed - orchards (olive) -SC-LS,,,0,
4,37.05361111,10.02433333,Irrigated-continuous-artishow,cropland,irrigated,Vegetable,Artishow,6,0,89,4,2,0.5,0.5,2,2,4)Irrigated-continuous-artishow,,,0,
6,37.11045408,9.995044215,Rainfed-SC-chickpea-LS,cropland,Rainfed,Vegetable,Chickpea,6,0,96,,,0,0,0,4,6)Rainfed-SC-chickpea-LS,6)Rainfed-SC-chickpea-LS_1,6)Rainfed-SC-chickpea-LS_2,0,
19,36.86023508,9.308811441,Rainfed-SC-sunflower-LS,cropland,Rainfed,Vegetable,Sunflower,6,0,97,,,0,0.5,0.5,1.5,19)Rainfed-SC-sunflower-LS,19)Rainfed-SC-sunflower-LS,,0,
21,36.83205357,9.187194038,Rainfed-SC-sunflower-LS,cropland,Rainfed,Vegetable,Sunflower,6,0,96,,,0.5,0.5,1.5,1.5,21)Rainfed-SC-sunflower-LS,21)Rainfed-SC-sunflower-LS,,0,
26,36.64228412,8.954336058,Irrigated-SC-potato/wheat-LS,cropland,irrigated,Vegetable,Potato,6,0,86,4,2.5,1.5,0.5,0.5,5,26)Irrigated-SC-potato/wheat-LS,26)Irrigated-SC-potato/wheat-LS_1,26)Irrigated-SC-potato/wheat-LS_2,0,
61,36.23018135,8.880611365,Rainfed-SC-peas-MS,cropland,Rainfed,Vegetable,Peas,6,0,99,,,0,0,0,1,61)Rainfed-SC-peace-MS,61)Rainfed-SC-peace-MS_1,,0,
100,36.1025,10.38416667,Rainfed-fallows/openlands,cropland,Rainfed,Vegetable,Openlands,6,0,99,,,0,0,0,1,100)Rainfed-fallows/openlands,,,0,
114,35.95174005,10.02837403,Irrigated-GW-watermelon-LS,cropland,irrigated,Vegetable,Watermelon,6,0,96,,,1,0.5,0,2.5,114)Irrigated-GW-watermelon-LS,,,0,
144,36.99364255,10.92488739,Irrigated-GW-potato-fodder-LS,cropland,irrigated,Vegetable,Potato,6,0,99,,,0,0,0,1,144)Irrigated-GW-potato-fodder-LS,144)Irrigated-GW-potato-fodder-LS_1,,0,
147,36.98262987,10.98425729,Irrigated-GW-DC-vegetables-vegetables-VLS,cropland,irrigated,Vegetable,Vegetable,6,0,94,,,1,0,0,5,147)Irrigated-GW-DC-vegetables-vegetables-VLS,,,0,
271,35.70207527,10.03008382,Irrigated-Tomato-SC-MS,cropland,irrigated,Vegetable,Tomato,6,0,53,25,20,0,0,0,2,271)Irrigated-Tomato-SC-MS,,,0,
291,36.30786838,9.29298038,Rainfed-Wheat/vegetable (peas)-SC-LS,cropland,Rainfed,Vegetable,Vegetable,6,0,99,,,0.5,0,0,0.5,291)Rainfed-Wheat/vegetable (peas)-SC-LS,,,0,
293,36.38484561,9.447408393,Irrigated-Vegetable(Peas)-SC-MS,cropland,irrigated,Vegetable,Vegetable,6,0,36,35,20,1,0,7.5,0.5,293)Irrigated-Vegetable(Peas)-SC-MS,,,0,
299,36.71266105,10.92961941,Irrigated-GW-DC-vegetables-vegetables-VLS,cropland,irrigated,Vegetable,Vegetable,6,0,96,,,1,0,0,3,299)Irrigated-GW-DC-vegetables-vegetables-VLS,,,0,
13,36.96582883,9.522460054,Shrublands/hills/forest,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,13)Shrublands/hills/forest,13)Shrublands/hills/forest_1,,0,
27,36.66833333,8.751111111,Shrublands/hills/forest,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,95,0,27)Shrublands/hills/forest,,,0,
54,36.5113649,9.306699744,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,54)Forests/shrublands-VLS,,,0,
64,36.13147256,8.627377164,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,10,,,2,0,85,3,64)Forests/shrublands-VLS,,,0,
77,36.09681927,9.471769392,Waste lands/rangelands,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,26,,,4,,70,0,77)Waste lands/rangelands,,,0,
80,36.18528829,9.583286095,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,80)Forests/shrublands-VLS,,,0,
83,36.28263281,9.444927129,Forests/Orchad-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,15,50,35,0,0,,0,83)Forests/Orchad-VLS,,,0,
89,36.69073686,10.32229007,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,89)Forests/shrublands-VLS,,,0,
90,36.66222222,10.35611111,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,90)Forests/shrublands-VLS,,,0,
97,36.34511728,10.51965461,Waste lands/rangelands,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,97)Waste lands/rangelands,,,0,
105,35.89722222,10.26111111,Fallows/Barrenland,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,105)Fallows/Barrenland,,,0,
107,35.83350635,10.16365541,Wetlands/waterbodies,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,0,0,107)Wetlands/waterbodies,,,0,
108,35.75248064,10.14357267,Wetlands/waterbodies,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,80,,,0,0,0,0,108)Wetlands/waterbodies,108)Wetlands/waterbodies,,0,
118,36.21211635,10.01890672,Shrublands/hills/forest,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,53,5,2.5,0,0,37.5,2,118)Shrublands/hills/forest,,,0,
125,36.72666667,10.31888889,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,5,3,0,0,87,5,125)Forests/shrublands-VLS,,,0,
126,36.71222222,10.35916667,Forests/shrublands-VLS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,99,1,126)Forests/shrublands-VLS,,,0,
129,36.70214718,10.45608442,Waste lands/rangelands,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,10,,,0,0,90,0,129)Waste lands/rangelands,,,0,
138,36.84051014,10.69831303,Forests/shrublands-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,138)Forests/shrublands-LS,,,0,
161,36.26866691,9.798229909,Forest (Pinus halepensis),Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,161)Forest (Pinus halepensis),,,0,
162,36.23616223,9.759240807,Forest planted (Eucalyptus),Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,162)Forest planted (Eucalyptus),,,0,
170,35.96379374,9.25504813,Forest (Cupressus sempervirens),Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,170)Forest (Cupressus sempervirens),,,0,
180,35.22599302,9.097265737,Shrubland (Cactus)-SC-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,,50,45,2,0,3,0,180)Shrubland (Cactus)-SC-LS,,,0,
183,35.24693081,8.992458058,Grassland (Stipaa tenacissima)-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,99,,,0.5,0.5,0,0,183)Grassland (Stipaa tenacissima)-LS,,,0,
184,35.23872989,8.979535783,Shrubland/Grassland-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0.5,0,98,1.5,184)Shrubland/Grassland-LS,,,0,
189,34.83607104,8.516345108,Grassland (Stipaa tenacissima)-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,20,,,0,80,0,0,189)Grassland (Stipaa tenacissima)-LS,,,0,
225,35.68304252,10.18857145,Grassland (Halophyte),Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,100,0,0,225)Grassland (Halophyte),,,0,
239,35.07771857,9.604289035,Grassland (Halophyte),Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,100,0,0,239)Grassland (Halophyte),,,0,
241,35.09104243,9.425803372,Grassland-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,10,,,0,90,0,0,241)Grassland-LS,,,0,
246,35.20959002,9.376016656,Shrub land (cactus inerme) - MS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,60,15,10,0,0,15,0,246)Shrub land (cactus inerme) - MS,,,0,
247,35.31731313,9.408786259,Grassland (esparto)-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,100,0,0,247)Grassland (esparto)-LS,,,0,
252,35.4850285,9.333870413,Shrub land (rosmarinus/other vegetation,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,252)Shrub land (rosmarinus/other vegetation),,,0,
253,35.51439997,9.348675191,Shrubland(Cactus),Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,,55,40,0,0,5,0,253)Shrubland(Cactus),,,0,
254,35.60312448,9.297455692,Shrubland,cropland,Non-cropland,Non-cropland,Non-cropland,7,0,93,,,0,0,5,2,254)Shrubland,,,0,
259,35.81914993,9.274239134,Shrubland-LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,97,,,0.5,0,1.5,1,259)Shrubland-LS,,,0,
274,35.80284193,9.812811888,Shrubland/Grassland,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,10,44,31,10,0,0,5,274)Shrubland/Grassland,,,0,
275,35.8359626,9.741766762,Forests (Pinus halepensis) - LS,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,0,,,0,0,100,0,275)Forests (Pinus halepensis) - LS,,,0,
277,35.8346245,9.662738222,Forest/Shrubland,Non-cropland,Non-cropland,Non-cropland,Non-cropland,7,0,13,50,30,1,0.5,5,0.5,277)Forest/Shrubland,,,0,
